id,area,requirement,status,existing_evidence,verified_gap_or_risk,recommended_action,priority,verification_checkpoint
DMR-018,Biomechanics frames,"Body/joint/root/world/camera/screen frames, units, handedness",existing_strong,CPCS-MX schema and skeleton,Need alignment documentation to ISB recommendations and projection uncertainty.,Add normative project frame registry and source alignment notes.,P1,transform paths resolve; unit/handedness checks
DMR-019,Kinematics/dynamics,"Positions, rotations, velocities, acceleration, jerk, CoM, support, force evidence",existing_partial,CPCS-MX canonical schema,CoM/support/force evidence remains largely untested; derived quantities need method metadata.,Require authority/evidence_class/derivation_method for every derived track.,P1,one authority per quantity; derivative method present
DMR-020,Affect,Valence/arousal/dominance trajectories and uncertainty,existing_partial,CPCS paper; skeleton affect arcs,No formal alignment with EmotionML; experienced versus displayed state needs broader examples.,Add EmotionML mapping and preserve interpretation/evidence separation.,P1,dimension vocabulary URI; confidence/evidence required
DMR-021,EmotionML alignment,Standard representation for categories/dimensions/traces,missing,No searchable repository coverage,Missed interoperability opportunity.,Add optional EmotionML export/import adapter without claiming affect truth.,P2,XSD/well-formed XML; round-trip dimension IDs
DMR-022,Gesture phases,Preparation/stroke/hold/retraction and optionality,existing_partial,CPCS temporal concepts,No explicit canonical alignment to gesture research/BML sync anchors.,Add domain phase profile and mapping table.,P1,obligatory/optional flags; sync points resolve
DMR-023,Behavior Markup Language,Speech/gaze/gesture/posture/face/head synchronization,missing,No searchable repository coverage,XML trigger design currently resembles BML but does not document compliance or mapping.,"Implement BML alignment profile, namespace policy, and conformance disclaimer; do not claim BML compliance unless validated.",P0,XML parse; namespace checks; BML mapping test
DMR-024,Seven-phase abstraction,Baseline/intent through recovery/settle,missing,No searchable repository coverage,No universal model established; risk of presenting synthesis as a standard.,Create a project-specific normalized phase profile with domain mappings and optional/merged phases.,P0,knowledge_type=project_specific_synthesis; domain mapping completeness
DMR-025,Universal phase claim,Determine whether one authoritative seven-phase model exists,missing,Current repo does not state the evidence verdict,"Evidence across FACS, gesture, gait, BML, and animation uses different phase systems.",Record an explicit negative verification result: no single universal seven-phase scientific standard verified; distinguish BML seven sync points.,P0,source matrix spans >=4 domains; claim status=not_verified_as_universal
DMR-026,Action ontology,General action atoms and staged screen action,existing_strong,CPCS/MX action graph; v005 combat JSON,Need named project-specific Screen Combat Action Ontology and tighter safety semantics.,Formalize existing atoms as project-specific ontology; avoid CAU/CACS standard claims.,P1,safety_scope required; harmful optimization fields prohibited
DMR-027,Multi-actor coordination,"Coupled actions, reactions, temporal dependencies",existing_partial,v005; VOG; action graph,"Need stronger role, target, dependency, and synchronization validation.",Add temporal constraint checks and actor-target reference integrity.,P1,all actor/target refs resolve; no contradictory hard order
DMR-028,Product handling contacts,Grasp/press/tap/hold/rotate/proof framing,missing,CONTROL_SURFACE marks contact taxonomy beyond combat unexplored,Floaty product handling remains an observed control gap.,Add product-contact ontology and one isolated A/B experiment.,P1,"contact interval, sites, tolerance, object visibility"
DMR-029,Locomotion,"Gait events, cycles, support, stop/turn transitions",existing_partial,CPCS-MX natural_walk example; concept index,No comprehensive gait-phase profile or verification suite.,Add domain-specific locomotion profile; do not force seven-phase abstraction onto gait.,P2,foot-contact order; foot-slip threshold; cycle closure
DMR-030,Director controls,"Shot, lens, camera 6DoF, blocking, continuity, edit, audio",existing_strong,CPCS/MX papers; skeleton; format map,Need model capability adapters and perceptual-effect uncertainty.,Extend adapter capability matrix and loss reports.,P1,adapter declares supported/dropped/approximated fields
DMR-031,Animation/anime/VFX,"Timing, holds, smear/impact frames, style transforms, invariants",existing_strong,CPCS-MX style profiles; skeleton; runbook,Need tests that style transforms preserve motion invariants.,Add cross-style invariant and ablation tests.,P1,action order/contact/support/screen direction unchanged
DMR-032,Marketing controls,"Hook, proof, objection, CTA, audience hypothesis",existing_partial,CPCS paper; UGC extraction; SKILL,Need evidence-backed audience hypotheses and stronger claim substantiation schema.,Require hypothesis/evidence/confidence and approved-claim IDs.,P1,no demographic inference from appearance; claim evidence resolves
DMR-033,Cultural/individual variation,"Context qualifiers, alternatives, calibration, non-stereotyping",existing_partial,CPCS/MX discussions and rights policy,Not yet enforced by schema or tests.,Add context qualifier and alternative-interpretation requirements for inferential claims.,P1,protected-trait inference prohibition; alternatives when ambiguous
DMR-034,Observation vs inference,Evidence classes and explicit intermediate representations,existing_strong,CPCS v1.2 measured/detected/inferred/interpreted/authored classes,Need consistent use across new modules and prompts.,Reuse the existing evidence class enum everywhere.,P0,derived claims require evidence + method + confidence
DMR-035,Markdown/CNL,Human-readable research and director representation,existing_partial,"papers, runbooks, prompt assets",No deterministic canonical Markdown serializer with loss report.,Add serializer only if canonical JSON remains source of truth.,P2,parse embedded IDs; round-trip loss report
DMR-036,YAML,"Human authoring, profiles, inheritance, comments",existing_strong,CPCS-MX authoring schema/compiler,Implicit typing and merge behavior need explicit hardened policy.,"Use safe_load, typed merge, restricted profile resolution, and canonical normalization.",P1,unsafe tags rejected; merge report deterministic
DMR-037,XML,Ordered script and trigger envelope,existing_partial,FORMAT_CONTROL_MAP; skeleton; provider prompts,No BML/EmotionML conformance mapping and no XSD for active envelope.,Add namespace-aware XML schema and import/export tests.,P1,XML/XSD validation; hash refs verified
DMR-038,JSON,Canonical machine truth and JSON Schema,existing_strong,CPCS-MX schema and examples,Schema modularity/version migration needs hardening.,Use one canonical root with $defs/modules and migration tests.,P1,Draft 2020-12 validation; additionalProperties policy explicit
DMR-039,JSONL,Evidence/event/RAG stream,existing_strong,RAG corpora and observation streams,Need canonical event-stream ordering and tombstone/correction semantics.,"Define event envelope with record_type, revision, supersedes, source hash.",P1,line-by-line parse; IDs unique; supersedes resolves
DMR-040,Cross-format equivalence,Identical semantics in Markdown/YAML/XML/JSON/JSONL,missing,"Format map exists, but no verified five-way equivalence suite found",High-value missing test layer.,Build deterministic canonical->formats->canonical adapters and semantic hashes; report intentional losses.,P0,semantic hash equality; typed value equality; order tests
DMR-041,Format effects on LLMs,"Tokenization, parseability, reasoning/adherence effects",missing,Repo has owner observations and p006/p009 but not full empirical literature review,Need model/task-specific evidence; no format is universally best.,Add empirical source review and local benchmark matrix; separate reasoning from serialization.,P1,"fixed semantics, fixed seed when available, repeated trials"
DMR-042,Constrained decoding,Grammar/schema-constrained outputs,existing_partial,Schemas exist; generation enforcement not integrated,Schema validation after generation is not equivalent to constrained decoding.,Add optional Outlines/LMFE/provider-native adapter and semantic validator.,P2,100% syntax validity test plus semantic accuracy metrics
DMR-043,Explicit reasoning records,"Observations, claims, alternatives, transformations, validation",existing_partial,VOG and CPCS-MX reports,Need one shared transformation-record contract.,Add immutable transformation records and source/target hashes.,P1,every compile step records input/output hashes and losses
DMR-044,Temporal causal graph,PRECEDES/OVERLAPS/CAUSES/REACTS_TO within a scene,existing_partial,VOG/action graph,Need Allen-style interval relation validation and causal-evidence distinctions.,Add temporal relation validator and inferred-causality caveats.,P1,relation consistency; cycles only where allowed
DMR-045,Ontology alignment,Map scene ontology to external standards and internal IDs,missing,No explicit PROV-O/OWL-Time/SHACL alignment,Interoperability and graph validation are weaker than they could be.,Add optional alignment layer and SHACL shapes; keep canonical JSON independent.,P2,RDF parse; SHACL conforms; mapping coverage report
DMR-046,Provenance/confidence,"Stable IDs, source hashes, derivation method, reviewer status",existing_strong,CPCS v1.2; CPCS-MX; VOG; source indexes,Need claim-level citation coverage checks in new research docs.,Add source-ID linter and coverage threshold.,P1,100% material claims carry source or synthesis label
DMR-047,Inter-rater reliability,"Calibration, agreement, disagreement preservation",missing,"Conflict preservation exists, but no coder reliability protocol found",Manual coding quality cannot be evaluated reproducibly.,"Add calibration set, coding guide, Cohen kappa/ICC guidance appropriate to variable type.",P2,agreement report generated; disagreements preserved
DMR-048,Model capability negotiation,Target model adapters and controlled degradation,existing_partial,CPCS/MX discusses adapters and loss budgets,Current provider templates are intentionally not executable clients.,Create adapter contracts that are data-driven and version-pinned; avoid stale model claims.,P1,capability report and loss budget for each compile
DMR-049,Prompt compression,Character-budget short prompts preserving action/camera/timing,existing_partial,SKILL and assets enforce <2000-char house formats,No deterministic salience/loss scoring.,Add field-priority policy and machine-readable compression report.,P1,wc -c; locked fields retained; uncertainty not hardened
DMR-050,Examples,Nine canonical scenes in five formats plus graph/prompt layers,missing,"Existing examples cover many domains, but not the requested complete matrix",Large duplication risk if written as nine monographs.,Create a compact fixture matrix generated from canonical JSON and reuse shared serializers.,P1,all fixtures validate and share semantic hash
DMR-051,Acceptance tests,"Schema, temporal, range, references, units, links, citations",existing_partial,CPCS package validators and root gate,"Missing cross-format, BML, Bartenieff, phase-profile, and claim-coverage tests.",Extend tests and root validation gate without slowing basic checks excessively.,P0,pytest plus root gate; exact command outputs recorded
DMR-052,Round-trip verification,Generated video re-extraction and authored-vs-observed diff,missing,CONCEPT_INDEX/CONTROL_SURFACE mark closed-loop verification unexplored,Highest-leverage correctness gap.,Implement metric contract and at least one synthetic/authorized fixture before claiming closed loop.,P0,"contact time/distance, action order, identity drift, cut count"
DMR-053,Security/parsing,"Safe loaders, XML entity safety, path restrictions, prompt-injection boundaries",existing_partial,CPCS-MX safe parsing and restricted profile resolution,New XML/Markdown/import paths expand attack surface.,"Add defused XML or hardened parser policy, path allowlists, digest checks, untrusted-text separation.",P1,XXE fixture rejected; path traversal fixture rejected
DMR-054,Ethics/rights,"Identity, consent, protected traits, staged action safety, truthful marketing",existing_strong,"README, CPCS/CPCS-MX rights and transfer policies","New modules must inherit, not restate inconsistently.",Reference one canonical policy and add domain-specific checks only.,P0,rights_scope and safety_scope required where applicable
DMR-055,Git integration,"Branch, commit, push, diff, changelog, exact results",existing_strong,AGENTS.md commit/log conventions,Uploaded spec omits current control-plane-specific integration sequence.,Use one branch; update CHANGELOG; regenerate derived graph last; run gate after every final edit; push only green state.,P0,git diff --check; gate green; remote SHA equals local SHA
