failure_id,family_id,family_name,failure_name,trigger_conditions,observable_symptoms,primary_level,primary_method,fallback_level,fallback_method,verification_metrics,evidence_strength,empirical_confidence,render_campaign_status
failure://b/hand_object_detachment/1,B,Object permanence and state persistence,Hand-object detachment,"A hand manipulates, rotates, passes, or rapidly moves a held item.","The object floats, penetrates the hand, changes hands without a pass, or lags behind the grip.",L4,"Provide pose/trajectory or source-video motion; encode hand, grip region, contact interval, and transfer event; isolate product close-ups.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_contact_distance_error metric_environment_layout_consistency metric_material_attribute_stability metric_object_count_consistency metric_state_transition_accuracy,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://b/environment_layout_drift/1,B,Object permanence and state persistence,Environmental layout drift,"A camera move, cut, or multi-shot sequence revisits the same room or terrain.","Doors, cliffs, furniture, waterline, or background geometry move or change count.",L3,"Use a scene reference board, depth/layout map, or source-video transform; maintain a scene-state ledger and camera/world transform.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_environment_layout_consistency metric_material_attribute_stability metric_object_count_consistency metric_state_transition_accuracy,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,moderate,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://c/face_costume_drift/1,C,"Identity, role, and actor assignment",Face and costume drift,"A character turns away, is blurred, changes shot scale, or crosses an edit.","Facial structure, hair, costume elements, or accessories change.",L3,"Use separate character references, stable identity IDs, attribute locks, and post-shot identity checkpoints.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_identity_continuity metric_role_assignment_accuracy metric_screen_side_consistency metric_voice_identity_consistency,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://c/actor_duplication_fusion/1,C,"Identity, role, and actor assignment",Actor duplication or fusion,"Two similar actors overlap, grapple, cross, or enter a high-effect interval.","Two actors become one, one becomes two, or limbs are assigned to the wrong body.",L4,"Use distinct wardrobe/color/depth lanes, avoid crossings, supply separate masks or pose tracks, and split grapples into readable contact beats.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_actor_count_consistency metric_identity_continuity metric_role_assignment_accuracy metric_screen_side_consistency metric_voice_identity_consistency,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://c/role_swap/1,C,"Identity, role, and actor assignment",Attacker-defender or speaker-role swap,Actors have similar appearance or cross screen positions during a dependent action.,"The wrong actor attacks, reacts, speaks, holds the prop, or receives the effect.",L2,"Bind every event to initiator_id and target_id, preserve role labels through the event graph, and verify action-to-actor assignment.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_identity_continuity metric_role_assignment_accuracy metric_screen_side_consistency metric_voice_identity_consistency,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://c/screen_side_identity_swap/1,C,"Identity, role, and actor assignment",Screen-side identity swap,"Actors cross, camera orbits, reverse angles are used, or a shot cuts across the axis.","The left actor becomes the right actor without a declared crossing, or identities swap at the cut.",L5,"Declare world IDs separately from screen lanes, preserve the action axis, and insert a neutral/re-establishing shot before a side reversal.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_identity_continuity metric_role_assignment_accuracy metric_screen_side_consistency metric_voice_identity_consistency,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://c/target_confusion/1,C,"Identity, role, and actor assignment",Action target confusion,More than one plausible target is visible or interaction lines cross.,"An attack, gaze, handoff, effect, or dialogue response lands on the wrong target.",L2,"Declare target_id, target region, exclusion targets, and temporal isolation; use bounding/layout controls when multiple candidates remain close.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_identity_continuity metric_role_assignment_accuracy metric_screen_side_consistency metric_target_assignment_accuracy metric_voice_identity_consistency,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://c/voice_identity_drift/1,C,"Identity, role, and actor assignment",Voice identity drift,Multi-character dialogue spans shots or overlaps with off-screen speech.,"Voice timbre, language, accent, or speaker assignment changes.",L3,"Bind voice references and speaker IDs, encode turn order, and separate speech generation/dubbing when exact identity is required.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_identity_continuity metric_role_assignment_accuracy metric_screen_side_consistency metric_voice_identity_consistency,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,moderate,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://d/left_right_frame_confusion/1,D,Spatial reasoning and screen geography,"Viewer-, actor-, and world-left confusion",A prompt uses left/right without naming the coordinate frame.,Motion or placement occurs in the opposite direction.,L2,Normalize every direction to an explicit coordinate frame and compile provider prose from canonical screen/world coordinates.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_depth_order_accuracy metric_eyeline_consistency metric_screen_direction_consistency metric_trajectory_target_error,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://d/axis_reversal_after_cut/1,D,Spatial reasoning and screen geography,Axis reversal after cut,"A reverse angle, orbit, or cut changes camera side during two-actor action.","Attack direction, gaze, or travel reverses without an authored crossing.",L5,"Lock the action axis, prohibit unmotivated camera-side crossing, or insert a neutral bridge shot that re-establishes geography.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_depth_order_accuracy metric_eyeline_consistency metric_screen_direction_consistency metric_trajectory_target_error,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://d/depth_order_inversion/1,D,Spatial reasoning and screen geography,Depth-order inversion,"Actors or props overlap, camera parallax is weak, or effects obscure boundaries.",Foreground/background ordering flips or an actor passes through another layer.,L4,"Use depth lanes, masks, depth maps, and minimum-separation constraints; verify ordering at overlap frames.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_depth_order_accuracy metric_eyeline_consistency metric_screen_direction_consistency metric_trajectory_target_error,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,moderate,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://d/trajectory_target_miss/1,D,Spatial reasoning and screen geography,Trajectory misses target region,"A fast actor/object follows a curved, airborne, or partially hidden path.","The subject lands, strikes, or exits at the wrong region.",L4,Provide point/pose trajectory or storyboard keyframes with time-indexed target regions; fail to shot decomposition when tolerance is tight.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_depth_order_accuracy metric_eyeline_consistency metric_screen_direction_consistency metric_trajectory_target_error,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://d/entrance_exit_mismatch/1,D,Spatial reasoning and screen geography,Entrance and exit mismatch,A subject leaves one shot and enters another after a camera change.,"Entry side, direction, scale, or depth lane conflicts with the previous exit.",L2,Record exit world state and compile the next shot's entrance through the camera transform; verify directional continuity.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_depth_order_accuracy metric_eyeline_consistency metric_screen_direction_consistency metric_trajectory_target_error,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,moderate,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://d/eyeline_mismatch/1,D,Spatial reasoning and screen geography,Eyeline and gaze-target mismatch,Dialogue or reaction shots isolate actors in close-up.,Actors look to the wrong side or at the wrong height/depth.,L3,"Bind gaze_target_id and screen target, use matching reference frames, and verify gaze ray/target intersection with human calibration.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_depth_order_accuracy metric_eyeline_consistency metric_screen_direction_consistency metric_trajectory_target_error,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,moderate,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://e/action_omission/1,E,Temporal order and action-graph collapse,Primary action omission,The clip contains many requested events or dependent beats.,One or more required actions never occur.,L5,"Reduce to one primary event chain per shot, preserve hard events, and generate separate clips when a provider-specific density staircase fails.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_action_graph_agreement metric_action_omission_rate metric_recovery_presence metric_temporal_event_error,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://e/action_merge/1,E,Temporal order and action-graph collapse,Sequential actions merged into one gesture,Two or more similar actions occur close together or share actors/effect language.,"Setup, action, consequence, or recovery collapse into a single ambiguous movement.",L2,Use explicit event nodes with non-overlapping intervals and prerequisite edges; include visible setup and settle beats.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_action_graph_agreement metric_action_omission_rate metric_recovery_presence metric_temporal_event_error,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://e/action_repeat/1,E,Temporal order and action-graph collapse,Unrequested action repetition,Unused duration remains after the main action or a cyclic motion prior is strong.,"A strike, gesture, step, or camera move repeats.",L1,Specify the end state and hold duration positively; shorten the generation or freeze the terminal interval in editing.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_action_graph_agreement metric_action_omission_rate metric_primary_action_completion metric_recovery_presence metric_temporal_event_error,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,moderate,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://e/event_order_reversal/1,E,Temporal order and action-graph collapse,Event-order reversal,The prompt uses compressed clauses or several dependent events.,"Reaction precedes cause, impact precedes approach, or recovery precedes landing.",L2,Topologically sort an explicit event graph and compile causal phrases; verify event timestamps with human calibration for fast actions.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_action_graph_agreement metric_action_omission_rate metric_recovery_presence metric_temporal_event_error,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://e/recovery_omission/1,E,Temporal order and action-graph collapse,Recovery or settle omission,A dynamic action consumes most clip duration.,"The actor never lands, regains balance, lowers the arm, or reaches the requested end state.",L5,Reserve an explicit recovery interval or separate recovery shot; use first/last frames only when the path remains plausible.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_action_graph_agreement metric_action_omission_rate metric_recovery_presence metric_temporal_event_error,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://e/simultaneity_collapse/1,E,Temporal order and action-graph collapse,Sequential events become simultaneous,Multiple actors act concurrently with causal dependencies.,Mutually dependent actions happen at once or turn order disappears.,L5,Serialize actor turns into separate beats or shots; keep only genuinely simultaneous actions in one interval.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_action_graph_agreement metric_action_omission_rate metric_recovery_presence metric_temporal_event_error,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://f/effect_before_cause/1,F,Causality and reaction,Effect occurs before cause,"A splash, recoil, debris burst, sound, or camera shake accompanies a fast action.",The effect begins before contact or near-contact.,L2,"Declare cause, contact/near-contact frame, effect onset, reaction delay, and recovery as separate event nodes.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_causal_edge_agreement metric_effect_origin_error metric_reaction_latency metric_target_assignment_accuracy,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://f/effect_without_cause/1,F,Causality and reaction,Effect without a valid cause,The prompt contains effect imagery but omits the generating interaction or permits filler.,"Debris, water, recoil, shake, or damage appears spontaneously.",L2,Gate every effect by a named causal event and reject effects whose preconditions are absent; move ornamental effects to post.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_causal_edge_agreement metric_effect_origin_error metric_reaction_latency metric_target_assignment_accuracy,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://f/wrong_effect_origin/1,F,Causality and reaction,Effect originates at the wrong location,The cause and effect are spatially separated or one actor is occluded.,"Splash, dust, sparks, or debris emit from the actor instead of the impact point.",L4,Bind effect_origin to a world/screen region or mask; composite the effect at a tracked point when exact origin matters.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_causal_edge_agreement metric_effect_origin_error metric_reaction_latency metric_target_assignment_accuracy,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://f/wrong_reactor/1,F,Causality and reaction,Wrong actor reacts,"Several actors are nearby, roles cross, or impact is partly hidden.","A non-target recoils, falls, or speaks.",L2,"Bind initiator, target, reaction actor, and excluded reactors in the causal graph; isolate the reaction shot if needed.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_causal_edge_agreement metric_effect_origin_error metric_reaction_latency metric_target_assignment_accuracy,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://f/reaction_latency_error/1,F,Causality and reaction,Reaction latency error,"Contact is fast, stylized, obscured, or audio-linked.","Reaction is anticipatory, excessively delayed, or temporally disconnected.",L2,"Encode onset, apex, consequence onset, acceptable latency range, and recovery; verify at frame level.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_causal_edge_agreement metric_effect_origin_error metric_reaction_latency metric_target_assignment_accuracy,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,moderate,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://f/secondary_effect_chain_break/1,F,Causality and reaction,Secondary-effect chain break,One impact should create several ordered consequences.,"Primary contact occurs but fluid, debris, sound, camera impulse, or environmental response is missing or unordered.",L5,Split the primary interaction from secondary VFX/audio or composite them from tracked anchors; verify each causal edge independently.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_causal_edge_agreement metric_effect_origin_error metric_reaction_latency metric_target_assignment_accuracy,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://g/false_contact/1,G,"Contact, penetration, and interaction geometry",False contact,Two actors approach rapidly or projected silhouettes overlap.,A hit or grasp is implied although world-space separation remains large.,L4,"Specify near-contact versus contact, target region, minimum/maximum distance, and camera-cheated overlap; use pose/depth controls for exact interaction.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_contact_distance_error metric_contact_target_accuracy metric_limb_separability metric_penetration_duration,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://g/missing_contact/1,G,"Contact, penetration, and interaction geometry",Missing required contact,"A handoff, grasp, support, strike, or landing is partly occluded or fast.","Bodies or objects stop short, float apart, or pass without touching.",L4,"Provide a contact keyframe/pose, reserve readable approach and consequence frames, and verify the target region at the declared contact interval.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_contact_distance_error metric_contact_target_accuracy metric_limb_separability metric_penetration_duration,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://g/body_penetration/1,G,"Contact, penetration, and interaction geometry",Body or limb penetration,"Close combat, grapples, crossed limbs, or rapid camera motion reduce silhouette separation.","Limbs pass through torsos, actors interpenetrate, or body ownership becomes ambiguous.",L4,"Use pose/depth/mask controls, maintain silhouette readability, or stage camera-cheated near-contact and add impact effects in post.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_contact_distance_error metric_contact_target_accuracy metric_limb_separability metric_penetration_duration,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://g/grip_drift/1,G,"Contact, penetration, and interaction geometry",Grip and support drift,"A hand carries, turns, or supports a prop across motion.","Grip point slides, fingers detach, or the object changes orientation independently.",L4,"Track grip anchor and object transform, use source-video/pose guidance, and isolate the manipulation shot.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_contact_distance_error metric_contact_target_accuracy metric_limb_separability metric_penetration_duration,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://g/wrong_contact_target/1,G,"Contact, penetration, and interaction geometry",Incorrect contact body part or region,A prompt states a general hit/grab without a spatial target.,"Contact lands on the wrong limb, side, or object region.",L2,Encode target_region in actor-local coordinates plus allowed screen tolerance; use a contact keyframe for precise choreography.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_contact_distance_error metric_contact_target_accuracy metric_limb_separability metric_penetration_duration,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,moderate,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://g/interaction_distance_drift/1,G,"Contact, penetration, and interaction geometry",Interaction-distance drift,"Dialogue, handoffs, dances, or combat continue during dolly/zoom/orbit motion.",Actors become too close/far or collision distance changes without locomotion.,L4,"Separate world distance from screen size, constrain actor trajectories, and verify with depth/pose estimates plus human review.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_contact_distance_error metric_contact_target_accuracy metric_limb_separability metric_penetration_duration,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,moderate,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://h/foot_skating/1,H,"Balance, support, weight, and momentum",Foot skating,"Walking, pivots, landings, or stance holds occur while the camera or background moves.",A planted foot slides relative to the surface.,L4,"Use pose/source-video guidance, encode planted-foot intervals, and measure foot-to-ground optical-flow residual.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_foot_slip_distance metric_landing_stability metric_momentum_discontinuity metric_support_state_consistency,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://h/missing_support/1,H,"Balance, support, weight, and momentum",Missing support foot or base of support,"A body leans, kicks, carries weight, or changes direction.",The body floats or remains stable without a supporting foot/hand/contact.,L2,Encode support contacts and transfer order; require a readable base of support or use source-motion control.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_foot_slip_distance metric_landing_stability metric_momentum_discontinuity metric_support_state_consistency,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://h/weightless_takeoff_landing/1,H,"Balance, support, weight, and momentum",Weightless takeoff or landing,"Jumping, diving, falling, or anime launches involve large vertical motion.","No compression/push-off, acceleration, impact, deceleration, or settle is visible.",L5,"Separate anticipation, takeoff, flight, contact, deceleration, and settle; retain a causal skeleton even under stylization.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_foot_slip_distance metric_landing_stability metric_momentum_discontinuity metric_support_state_consistency,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://h/momentum_discontinuity/1,H,"Balance, support, weight, and momentum",Momentum disappearance or reversal,"A fast actor/object changes direction, collides, or crosses an edit.",Velocity changes instantly or momentum vanishes between frames.,L4,Use trajectory/control video and encode pre/post velocity plus impulse event; split at impact for compositing when needed.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_foot_slip_distance metric_landing_stability metric_momentum_discontinuity metric_support_state_consistency,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
