failure_id,failure_code,failure_name,existing_owner,existing_coverage,missing_evidence,missing_mitigation,missing_test,recommended_owner,integration_class
failure://object permanence and state/unauthorized_object_state_reset/b04,B04,Unauthorized object-state reset,lab/compiler/schemas/universal_score.schema.json#continuity + entities + assets + interactions; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"State-ledger typing, possession transitions, object-state tests, multi-shot persistence evidence","Run fixture://b04/minimal_trigger, fixture://b04/paired_control, and fixture://b04/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#continuity + entities + assets + interactions; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://object permanence and state/dimension_color_or_material_drift/b05,B05,"Dimension, color, or material drift",lab/compiler/schemas/universal_score.schema.json#continuity + entities + assets + interactions; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"State-ledger typing, possession transitions, object-state tests, multi-shot persistence evidence","Run fixture://b05/minimal_trigger, fixture://b05/paired_control, and fixture://b05/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#continuity + entities + assets + interactions; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://object permanence and state/hand_object_detachment/b06,B06,Hand–object detachment,lab/compiler/schemas/universal_score.schema.json#continuity + entities + assets + interactions; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"State-ledger typing, possession transitions, object-state tests, multi-shot persistence evidence","Run fixture://b06/minimal_trigger, fixture://b06/paired_control, and fixture://b06/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#continuity + entities + assets + interactions; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://object permanence and state/reflection_becomes_a_physical_duplicate/b07,B07,Reflection becomes a physical duplicate,lab/compiler/schemas/universal_score.schema.json#continuity + entities + assets + interactions; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"State-ledger typing, possession transitions, object-state tests, multi-shot persistence evidence","Run fixture://b07/minimal_trigger, fixture://b07/paired_control, and fixture://b07/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#continuity + entities + assets + interactions; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://identity and role/face_body_hair_or_costume_drift/c01,C01,"Face, body, hair, or costume drift",lab/compiler/schemas/universal_score.schema.json#entities + actions + interactions + performance + audio; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Multimodal identity signatures, role-edge typing, nonfacial verification calibration","Run fixture://c01/minimal_trigger, fixture://c01/paired_control, and fixture://c01/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#entities + actions + interactions + performance + audio; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://identity and role/actor_fusion_during_interaction/c02,C02,Actor fusion during interaction,lab/compiler/schemas/universal_score.schema.json#entities + actions + interactions + performance + audio; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Multimodal identity signatures, role-edge typing, nonfacial verification calibration","Run fixture://c02/minimal_trigger, fixture://c02/paired_control, and fixture://c02/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#entities + actions + interactions + performance + audio; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://identity and role/actor_duplication_outside_occlusion/c03,C03,Actor duplication outside occlusion,lab/compiler/schemas/universal_score.schema.json#entities + actions + interactions + performance + audio; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Multimodal identity signatures, role-edge typing, nonfacial verification calibration","Run fixture://c03/minimal_trigger, fixture://c03/paired_control, and fixture://c03/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#entities + actions + interactions + performance + audio; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://identity and role/initiator_target_or_attacker_defender_role_swap/c04,C04,Initiator/target or attacker/defender role swap,lab/compiler/schemas/universal_score.schema.json#entities + actions + interactions + performance + audio; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Multimodal identity signatures, role-edge typing, nonfacial verification calibration","Run fixture://c04/minimal_trigger, fixture://c04/paired_control, and fixture://c04/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#entities + actions + interactions + performance + audio; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://identity and role/target_assignment_confusion/c05,C05,Target assignment confusion,lab/compiler/schemas/universal_score.schema.json#entities + actions + interactions + performance + audio; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Multimodal identity signatures, role-edge typing, nonfacial verification calibration","Run fixture://c05/minimal_trigger, fixture://c05/paired_control, and fixture://c05/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#entities + actions + interactions + performance + audio; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://identity and role/screen_side_actor_swap/c06,C06,Screen-side actor swap,lab/compiler/schemas/universal_score.schema.json#entities + actions + interactions + performance + audio; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Multimodal identity signatures, role-edge typing, nonfacial verification calibration","Run fixture://c06/minimal_trigger, fixture://c06/paired_control, and fixture://c06/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#entities + actions + interactions + performance + audio; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://identity and role/voice_or_mannerism_identity_drift/c07,C07,Voice or mannerism identity drift,lab/compiler/schemas/universal_score.schema.json#entities + actions + interactions + performance + audio; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Multimodal identity signatures, role-edge typing, nonfacial verification calibration","Run fixture://c07/minimal_trigger, fixture://c07/paired_control, and fixture://c07/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#entities + actions + interactions + performance + audio; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://spatial and screen geography/screen_world_actor_direction_confusion/d01,D01,Screen/world/actor direction confusion,lab/compiler/schemas/universal_score.schema.json#scenes + shots + camera + actions; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Coordinate-frame and state-transition contract, scene map, screen/world transform metrics","Run fixture://d01/minimal_trigger, fixture://d01/paired_control, and fixture://d01/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#scenes + shots + camera + actions; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://spatial and screen geography/depth_order_inversion/d02,D02,Depth-order inversion,lab/compiler/schemas/universal_score.schema.json#scenes + shots + camera + actions; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Coordinate-frame and state-transition contract, scene map, screen/world transform metrics","Run fixture://d02/minimal_trigger, fixture://d02/paired_control, and fixture://d02/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#scenes + shots + camera + actions; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://spatial and screen geography/axis_reversal_after_cut_or_orbit/d03,D03,Axis reversal after cut or orbit,lab/compiler/schemas/universal_score.schema.json#scenes + shots + camera + actions; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Coordinate-frame and state-transition contract, scene map, screen/world transform metrics","Run fixture://d03/minimal_trigger, fixture://d03/paired_control, and fixture://d03/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#scenes + shots + camera + actions; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://spatial and screen geography/entrance_exit_and_off_screen_continuity_mismatch/d04,D04,Entrance/exit and off-screen continuity mismatch,lab/compiler/schemas/universal_score.schema.json#scenes + shots + camera + actions; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Coordinate-frame and state-transition contract, scene map, screen/world transform metrics","Run fixture://d04/minimal_trigger, fixture://d04/paired_control, and fixture://d04/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#scenes + shots + camera + actions; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://spatial and screen geography/actor_distance_drift/d05,D05,Actor-distance drift,lab/compiler/schemas/universal_score.schema.json#scenes + shots + camera + actions; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Coordinate-frame and state-transition contract, scene map, screen/world transform metrics","Run fixture://d05/minimal_trigger, fixture://d05/paired_control, and fixture://d05/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#scenes + shots + camera + actions; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://spatial and screen geography/target_region_miss/d06,D06,Target-region miss,lab/compiler/schemas/universal_score.schema.json#scenes + shots + camera + actions; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Coordinate-frame and state-transition contract, scene map, screen/world transform metrics","Run fixture://d06/minimal_trigger, fixture://d06/paired_control, and fixture://d06/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#scenes + shots + camera + actions; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://temporal action and causality/action_omission/e01,E01,Action omission,lab/compiler/schemas/universal_score.schema.json#beats + actions + interactions + editing + audio; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Typed causal/event dependencies, feasibility/scheduling gate, provider action-density distributions","Run fixture://e01/minimal_trigger, fixture://e01/paired_control, and fixture://e01/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#beats + actions + interactions + editing + audio; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://temporal action and causality/action_merge_or_compression/e02,E02,Action merge or compression,lab/compiler/schemas/universal_score.schema.json#beats + actions + interactions + editing + audio; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Typed causal/event dependencies, feasibility/scheduling gate, provider action-density distributions","Run fixture://e02/minimal_trigger, fixture://e02/paired_control, and fixture://e02/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#beats + actions + interactions + editing + audio; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://temporal action and causality/action_repetition_or_invented_filler/e03,E03,Action repetition or invented filler,lab/compiler/schemas/universal_score.schema.json#beats + actions + interactions + editing + audio; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Typed causal/event dependencies, feasibility/scheduling gate, provider action-density distributions","Run fixture://e03/minimal_trigger, fixture://e03/paired_control, and fixture://e03/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#beats + actions + interactions + editing + audio; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://temporal action and causality/event_order_reversal/e04,E04,Event-order reversal,lab/compiler/schemas/universal_score.schema.json#beats + actions + interactions + editing + audio; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Typed causal/event dependencies, feasibility/scheduling gate, provider action-density distributions","Run fixture://e04/minimal_trigger, fixture://e04/paired_control, and fixture://e04/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#beats + actions + interactions + editing + audio; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://temporal action and causality/premature_reaction_or_anticipation/e05,E05,Premature reaction or anticipation,lab/compiler/schemas/universal_score.schema.json#beats + actions + interactions + editing + audio; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Typed causal/event dependencies, feasibility/scheduling gate, provider action-density distributions","Run fixture://e05/minimal_trigger, fixture://e05/paired_control, and fixture://e05/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#beats + actions + interactions + editing + audio; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://temporal action and causality/cause_consequence_decoupling/e06,E06,Cause–consequence decoupling,lab/compiler/schemas/universal_score.schema.json#beats + actions + interactions + editing + audio; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Typed causal/event dependencies, feasibility/scheduling gate, provider action-density distributions","Run fixture://e06/minimal_trigger, fixture://e06/paired_control, and fixture://e06/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#beats + actions + interactions + editing + audio; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://temporal action and causality/recovery_or_settle_omission/e07,E07,Recovery or settle omission,lab/compiler/schemas/universal_score.schema.json#beats + actions + interactions + editing + audio; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Typed causal/event dependencies, feasibility/scheduling gate, provider action-density distributions","Run fixture://e07/minimal_trigger, fixture://e07/paired_control, and fixture://e07/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#beats + actions + interactions + editing + audio; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://temporal action and causality/sequential_simultaneous_collapse/e08,E08,Sequential/simultaneous collapse,lab/compiler/schemas/universal_score.schema.json#beats + actions + interactions + editing + audio; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Typed causal/event dependencies, feasibility/scheduling gate, provider action-density distributions","Run fixture://e08/minimal_trigger, fixture://e08/paired_control, and fixture://e08/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#beats + actions + interactions + editing + audio; lab/verification,contract_affecting;implementation_affecting;verification_affecting
"failure://contact, balance, and physics/false_or_missing_contact/f01",F01,False or missing contact,lab/compiler/schemas/universal_score.schema.json#motion + interactions + actions + style; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Contact/support/deformation contracts, physics-aware metrics, control/post escalation evidence","Run fixture://f01/minimal_trigger, fixture://f01/paired_control, and fixture://f01/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#motion + interactions + actions + style; lab/verification,contract_affecting;implementation_affecting;verification_affecting
"failure://contact, balance, and physics/body_limb_or_object_penetration/f02",F02,"Body, limb, or object penetration",lab/compiler/schemas/universal_score.schema.json#motion + interactions + actions + style; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Contact/support/deformation contracts, physics-aware metrics, control/post escalation evidence","Run fixture://f02/minimal_trigger, fixture://f02/paired_control, and fixture://f02/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#motion + interactions + actions + style; lab/verification,contract_affecting;implementation_affecting;verification_affecting
"failure://contact, balance, and physics/foot_skating_or_support_loss/f03",F03,Foot skating or support loss,lab/compiler/schemas/universal_score.schema.json#motion + interactions + actions + style; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Contact/support/deformation contracts, physics-aware metrics, control/post escalation evidence","Run fixture://f03/minimal_trigger, fixture://f03/paired_control, and fixture://f03/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#motion + interactions + actions + style; lab/verification,contract_affecting;implementation_affecting;verification_affecting
"failure://contact, balance, and physics/weightless_takeoff_landing_or_recovery/f04",F04,"Weightless takeoff, landing, or recovery",lab/compiler/schemas/universal_score.schema.json#motion + interactions + actions + style; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Contact/support/deformation contracts, physics-aware metrics, control/post escalation evidence","Run fixture://f04/minimal_trigger, fixture://f04/paired_control, and fixture://f04/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#motion + interactions + actions + style; lab/verification,contract_affecting;implementation_affecting;verification_affecting
"failure://contact, balance, and physics/momentum_discontinuity/f05",F05,Momentum discontinuity,lab/compiler/schemas/universal_score.schema.json#motion + interactions + actions + style; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Contact/support/deformation contracts, physics-aware metrics, control/post escalation evidence","Run fixture://f05/minimal_trigger, fixture://f05/paired_control, and fixture://f05/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#motion + interactions + actions + style; lab/verification,contract_affecting;implementation_affecting;verification_affecting
"failure://contact, balance, and physics/grip_grasp_or_support_failure/f06",F06,"Grip, grasp, or support failure",lab/compiler/schemas/universal_score.schema.json#motion + interactions + actions + style; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Contact/support/deformation contracts, physics-aware metrics, control/post escalation evidence","Run fixture://f06/minimal_trigger, fixture://f06/paired_control, and fixture://f06/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#motion + interactions + actions + style; lab/verification,contract_affecting;implementation_affecting;verification_affecting
"failure://contact, balance, and physics/contact_target_or_reaction_mismatch/f07",F07,Contact-target or reaction mismatch,lab/compiler/schemas/universal_score.schema.json#motion + interactions + actions + style; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Contact/support/deformation contracts, physics-aware metrics, control/post escalation evidence","Run fixture://f07/minimal_trigger, fixture://f07/paired_control, and fixture://f07/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#motion + interactions + actions + style; lab/verification,contract_affecting;implementation_affecting;verification_affecting
"failure://contact, balance, and physics/scale_center_of_mass_or_body_proportion_instability/f08",F08,"Scale, center-of-mass, or body-proportion instability",lab/compiler/schemas/universal_score.schema.json#motion + interactions + actions + style; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Contact/support/deformation contracts, physics-aware metrics, control/post escalation evidence","Run fixture://f08/minimal_trigger, fixture://f08/paired_control, and fixture://f08/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#motion + interactions + actions + style; lab/verification,contract_affecting;implementation_affecting;verification_affecting
"failure://fluid, material, and vfx/splash_without_surface_displacement/g01",G01,Splash without surface displacement,lab/compiler/schemas/universal_score.schema.json#interactions + motion + style + continuity; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Material state/lifecycle contracts, solid-fluid event primitives, simulation/post policies","Run fixture://g01/minimal_trigger, fixture://g01/paired_control, and fixture://g01/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#interactions + motion + style + continuity; lab/verification,contract_affecting;implementation_affecting;verification_affecting
"failure://fluid, material, and vfx/fluid_treated_as_a_solid_or_noninteractive_plane/g02",G02,Fluid treated as a solid or noninteractive plane,lab/compiler/schemas/universal_score.schema.json#interactions + motion + style + continuity; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Material state/lifecycle contracts, solid-fluid event primitives, simulation/post policies","Run fixture://g02/minimal_trigger, fixture://g02/paired_control, and fixture://g02/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#interactions + motion + style + continuity; lab/verification,contract_affecting;implementation_affecting;verification_affecting
"failure://fluid, material, and vfx/effect_origin_follows_the_wrong_actor_or_location/g03",G03,Effect origin follows the wrong actor or location,lab/compiler/schemas/universal_score.schema.json#interactions + motion + style + continuity; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Material state/lifecycle contracts, solid-fluid event primitives, simulation/post policies","Run fixture://g03/minimal_trigger, fixture://g03/paired_control, and fixture://g03/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#interactions + motion + style + continuity; lab/verification,contract_affecting;implementation_affecting;verification_affecting
"failure://fluid, material, and vfx/effect_onset_decay_or_persistence_mismatch/g04",G04,"Effect onset, decay, or persistence mismatch",lab/compiler/schemas/universal_score.schema.json#interactions + motion + style + continuity; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Material state/lifecycle contracts, solid-fluid event primitives, simulation/post policies","Run fixture://g04/minimal_trigger, fixture://g04/paired_control, and fixture://g04/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#interactions + motion + style + continuity; lab/verification,contract_affecting;implementation_affecting;verification_affecting
"failure://fluid, material, and vfx/cloth_or_hair_interpenetration_and_attachment_drift/g05",G05,Cloth or hair interpenetration and attachment drift,lab/compiler/schemas/universal_score.schema.json#interactions + motion + style + continuity; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Material state/lifecycle contracts, solid-fluid event primitives, simulation/post policies","Run fixture://g05/minimal_trigger, fixture://g05/paired_control, and fixture://g05/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#interactions + motion + style + continuity; lab/verification,contract_affecting;implementation_affecting;verification_affecting
"failure://fluid, material, and vfx/debris_trajectory_or_source_mismatch/g06",G06,Debris trajectory or source mismatch,lab/compiler/schemas/universal_score.schema.json#interactions + motion + style + continuity; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Material state/lifecycle contracts, solid-fluid event primitives, simulation/post policies","Run fixture://g06/minimal_trigger, fixture://g06/paired_control, and fixture://g06/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#interactions + motion + style + continuity; lab/verification,contract_affecting;implementation_affecting;verification_affecting
