failure_id,failure_name,existing_owner,existing_coverage,missing_evidence,missing_mitigation,missing_test,recommended_owner,parallel_owner_prohibited
failure://f/wrong_reactor/1,Wrong actor reacts,lab/compiler actions/interactions/audio; lab/verification causal assertions,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/f/wrong_reactor/v1,actions + interactions + effects + verification,true
failure://f/reaction_latency_error/1,Reaction latency error,lab/compiler actions/interactions/audio; lab/verification causal assertions,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/f/reaction_latency_error/v1,actions + interactions + effects + verification,true
failure://f/secondary_effect_chain_break/1,Secondary-effect chain break,lab/compiler actions/interactions/audio; lab/verification causal assertions,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/f/secondary_effect_chain_break/v1,actions + interactions + effects + verification,true
failure://g/false_contact/1,False contact,lab/compiler interactions/motion/camera; lab/verification measured/human lanes,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/g/false_contact/v1,interactions + motion + camera + verification,true
failure://g/missing_contact/1,Missing required contact,lab/compiler interactions/motion/camera; lab/verification measured/human lanes,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/g/missing_contact/v1,interactions + motion + camera + verification,true
failure://g/body_penetration/1,Body or limb penetration,lab/compiler interactions/motion/camera; lab/verification measured/human lanes,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/g/body_penetration/v1,interactions + motion + camera + verification,true
failure://g/grip_drift/1,Grip and support drift,lab/compiler interactions/motion/camera; lab/verification measured/human lanes,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/g/grip_drift/v1,interactions + motion + camera + verification,true
failure://g/wrong_contact_target/1,Incorrect contact body part or region,lab/compiler interactions/motion/camera; lab/verification measured/human lanes,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/g/wrong_contact_target/v1,interactions + motion + camera + verification,true
failure://g/interaction_distance_drift/1,Interaction-distance drift,lab/compiler interactions/motion/camera; lab/verification measured/human lanes,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/g/interaction_distance_drift/v1,interactions + motion + camera + verification,true
failure://h/foot_skating/1,Foot skating,lab/compiler motion/interactions; lab/verification support/momentum metrics,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/h/foot_skating/v1,motion + interactions + verification,true
failure://h/missing_support/1,Missing support foot or base of support,lab/compiler motion/interactions; lab/verification support/momentum metrics,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/h/missing_support/v1,motion + interactions + verification,true
failure://h/weightless_takeoff_landing/1,Weightless takeoff or landing,lab/compiler motion/interactions; lab/verification support/momentum metrics,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/h/weightless_takeoff_landing/v1,motion + interactions + verification,true
failure://h/momentum_discontinuity/1,Momentum disappearance or reversal,lab/compiler motion/interactions; lab/verification support/momentum metrics,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/h/momentum_discontinuity/v1,motion + interactions + verification,true
failure://h/constant_speed_motion/1,Constant-speed motion without acceleration profile,lab/compiler motion/interactions; lab/verification support/momentum metrics,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/h/constant_speed_motion/v1,motion + interactions + verification,true
failure://h/impossible_recovery/1,Impossible recovery or balance regain,lab/compiler motion/interactions; lab/verification support/momentum metrics,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/h/impossible_recovery/v1,motion + interactions + verification,true
failure://i/solid_fluid_boundary_error/1,Solid-fluid boundary error,lab/compiler interactions/style/continuity; lab/verification material-response checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/i/solid_fluid_boundary_error/v1,interactions + style + continuity + verification,true
failure://i/splash_before_displacement/1,Splash before displacement,lab/compiler interactions/style/continuity; lab/verification material-response checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/i/splash_before_displacement/v1,interactions + style + continuity + verification,true
failure://i/splash_origin_drift/1,Splash or water column follows the actor,lab/compiler interactions/style/continuity; lab/verification material-response checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/i/splash_origin_drift/v1,interactions + style + continuity + verification,true
failure://i/submerged_subject_disappearance/1,Submerged subject disappearance,lab/compiler interactions/style/continuity; lab/verification material-response checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/i/submerged_subject_disappearance/v1,interactions + style + continuity + verification,true
failure://i/material_effect_anatomy_spawn/1,Material effect spawns anatomy or duplicate faces,lab/compiler interactions/style/continuity; lab/verification material-response checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/i/material_effect_anatomy_spawn/v1,interactions + style + continuity + verification,true
failure://i/environment_material_state_drift/1,Material topology or persistence drift,lab/compiler interactions/style/continuity; lab/verification material-response checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/i/environment_material_state_drift/v1,interactions + style + continuity + verification,true
failure://j/pan_becomes_actor_motion/1,Camera pan becomes actor translation,lab/compiler camera/motion/shots; lab/verification camera/actor separation,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/j/pan_becomes_actor_motion/v1,camera + motion + shots + verification,true
failure://j/tracking_freezes_locomotion/1,Tracking shot freezes actor locomotion,lab/compiler camera/motion/shots; lab/verification camera/actor separation,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/j/tracking_freezes_locomotion/v1,camera + motion + shots + verification,true
failure://j/orbit_reverses_screen_direction/1,Orbit reverses screen direction,lab/compiler camera/motion/shots; lab/verification camera/actor separation,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/j/orbit_reverses_screen_direction/v1,camera + motion + shots + verification,true
failure://j/zoom_dolly_confusion/1,Zoom and dolly confusion,lab/compiler camera/motion/shots; lab/verification camera/actor separation,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/j/zoom_dolly_confusion/v1,camera + motion + shots + verification,true
failure://j/impact_shake_deforms_subject/1,Impact shake deforms or teleports subjects,lab/compiler camera/motion/shots; lab/verification camera/actor separation,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/j/impact_shake_deforms_subject/v1,camera + motion + shots + verification,true
failure://j/motion_blur_identity_loss/1,Motion blur destroys identity and geometry,lab/compiler camera/motion/shots; lab/verification camera/actor separation,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/j/motion_blur_identity_loss/v1,camera + motion + shots + verification,true
failure://k/flash_misread_as_cut/1,Impact flash misread as a camera cut,lab/compiler editing/continuity/style; lab/verification cut/effect classification,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/k/flash_misread_as_cut/v1,editing + continuity + style + verification,true
failure://k/smoke_splash_wipe_scene_reset/1,Effect wipe causes scene reset,lab/compiler editing/continuity/style; lab/verification cut/effect classification,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/k/smoke_splash_wipe_scene_reset/v1,editing + continuity + style + verification,true
failure://k/hard_cut_state_reset/1,Hard cut resets world state,lab/compiler editing/continuity/style; lab/verification cut/effect classification,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/k/hard_cut_state_reset/v1,editing + continuity + style + verification,true
failure://k/whip_pan_teleport/1,Whip-pan teleport,lab/compiler editing/continuity/style; lab/verification cut/effect classification,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/k/whip_pan_teleport/v1,editing + continuity + style + verification,true
failure://k/transformation_burst_unintended_redesign/1,Transformation burst redesigns forbidden attributes,lab/compiler editing/continuity/style; lab/verification cut/effect classification,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/k/transformation_burst_unintended_redesign/v1,editing + continuity + style + verification,true
failure://k/multi_shot_temporal_jump/1,Multi-shot temporal jump or duplicate beat,lab/compiler editing/continuity/style; lab/verification cut/effect classification,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/k/multi_shot_temporal_jump/v1,editing + continuity + style + verification,true
failure://l/extra_missing_limbs/1,Extra or missing limbs,lab/compiler motion/style/performance; lab/verification recovery assertions,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/l/extra_missing_limbs/v1,motion + style + performance + verification,true
failure://l/joint_inversion/1,Joint inversion or impossible articulation,lab/compiler motion/style/performance; lab/verification recovery assertions,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/l/joint_inversion/v1,motion + style + performance + verification,true
failure://l/persistent_smear_anatomy/1,Smear deformation persists beyond the accent,lab/compiler motion/style/performance; lab/verification recovery assertions,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/l/persistent_smear_anatomy/v1,motion + style + performance + verification,true
failure://l/perspective_deformation_persists/1,Perspective enlargement persists,lab/compiler motion/style/performance; lab/verification recovery assertions,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/l/perspective_deformation_persists/v1,motion + style + performance + verification,true
failure://l/failed_anatomy_reconnection/1,Failed anatomy reconnection after occlusion,lab/compiler motion/style/performance; lab/verification recovery assertions,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/l/failed_anatomy_reconnection/v1,motion + style + performance + verification,true
failure://l/stylization_readability_loss/1,Stylization destroys action readability,lab/compiler motion/style/performance; lab/verification recovery assertions,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/l/stylization_readability_loss/v1,motion + style + performance + verification,true
failure://m/structured_format_not_parsed/1,Structured serialization treated as ordinary text,lab/compiler provider build and adapter; lab/experiments format arms,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,Compiler has authority/loss surfaces but lacks calibrated provider-specific attention and complexity limits.,fixture://failure/m/structured_format_not_parsed/v1,compiler + provider adapter + experiment registry,true
failure://m/duplicate_representation_attention_collision/1,Duplicate-format attention collision,lab/compiler provider build and adapter; lab/experiments format arms,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,Compiler has authority/loss surfaces but lacks calibrated provider-specific attention and complexity limits.,fixture://failure/m/duplicate_representation_attention_collision/v1,compiler + provider adapter + experiment registry,true
failure://m/numeric_control_ignored/1,Exact numeric values ignored or approximated,lab/compiler provider build and adapter; lab/experiments format arms,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,Compiler has authority/loss surfaces but lacks calibrated provider-specific attention and complexity limits.,fixture://failure/m/numeric_control_ignored/v1,compiler + provider adapter + experiment registry,true
failure://m/negative_prompt_concept_priming/1,Negative instruction introduces or preserves forbidden content,lab/compiler provider build and adapter; lab/experiments format arms,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,Compiler has authority/loss surfaces but lacks calibrated provider-specific attention and complexity limits.,fixture://failure/m/negative_prompt_concept_priming/v1,compiler + provider adapter + experiment registry,true
failure://m/prompt_rewrite_semantic_loss/1,Provider prompt rewriting changes canonical intent,lab/compiler provider build and adapter; lab/experiments format arms,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,Compiler has authority/loss surfaces but lacks calibrated provider-specific attention and complexity limits.,fixture://failure/m/prompt_rewrite_semantic_loss/v1,compiler + provider adapter + experiment registry,true
failure://m/prompt_budget_truncation/1,Prompt-budget overflow or truncation,lab/compiler provider build and adapter; lab/experiments format arms,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,Compiler has authority/loss surfaces but lacks calibrated provider-specific attention and complexity limits.,fixture://failure/m/prompt_budget_truncation/v1,compiler + provider adapter + experiment registry,true
failure://n/overconstraint_priority_dilution/1,Overconstraint and priority dilution,lab/compiler constraints/warnings/loss report; shot planner; lab/experiments capacity staircases,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,Compiler has authority/loss surfaces but lacks calibrated provider-specific attention and complexity limits.,fixture://failure/n/overconstraint_priority_dilution/v1,compiler + loss report + shot planner,true
failure://n/under_specified_filler/1,Under-specified filler action,lab/compiler constraints/warnings/loss report; shot planner; lab/experiments capacity staircases,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,Compiler has authority/loss surfaces but lacks calibrated provider-specific attention and complexity limits.,fixture://failure/n/under_specified_filler/v1,compiler + loss report + shot planner,true
failure://n/contradictory_constraints/1,Contradictory canonical constraints,lab/compiler constraints/warnings/loss report; shot planner; lab/experiments capacity staircases,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,Compiler has authority/loss surfaces but lacks calibrated provider-specific attention and complexity limits.,fixture://failure/n/contradictory_constraints/v1,compiler + loss report + shot planner,true
failure://n/action_density_overflow/1,Action-density overflow,lab/compiler constraints/warnings/loss report; shot planner; lab/experiments capacity staircases,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,Compiler has authority/loss surfaces but lacks calibrated provider-specific attention and complexity limits.,fixture://failure/n/action_density_overflow/v1,compiler + loss report + shot planner,true
failure://n/multi_actor_complexity_overflow/1,Multi-actor interaction overload,lab/compiler constraints/warnings/loss report; shot planner; lab/experiments capacity staircases,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,Compiler has authority/loss surfaces but lacks calibrated provider-specific attention and complexity limits.,fixture://failure/n/multi_actor_complexity_overflow/v1,compiler + loss report + shot planner,true
