failure_code,failure_id,failure_name,category,finding_classification,controllability,cpcs_surface,required_change_or_effect
A01,failure://occlusion and hidden state/hidden_state_reconstruction_hallucination/a01,Hidden-state reconstruction hallucination,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,loss_report,"Report every unsupported, evaluation-only, compressed, or omitted control."
A01,failure://occlusion and hidden state/hidden_state_reconstruction_hallucination/a01,Hidden-state reconstruction hallucination,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,verification_plan,"[""metric_occlusion_continuity"",""metric_reappearance_position_error"",""metric_identity_continuity"",""metric_event_graph_agreement""]"
A01,failure://occlusion and hidden state/hidden_state_reconstruction_hallucination/a01,Hidden-state reconstruction hallucination,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,repair_planner,Repair only the smallest failing interval/shot while preserving passing control IDs.
A01,failure://occlusion and hidden state/hidden_state_reconstruction_hallucination/a01,Hidden-state reconstruction hallucination,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,experiment_registry,Register matched ablations for A01 with raw artifacts and immutable manifests.
A02,failure://occlusion and hidden state/duplicate_subject_on_reappearance/a02,Duplicate subject on reappearance,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,intent_normalization,Preserve the requested invariant and classify ambiguity before compilation.
A02,failure://occlusion and hidden state/duplicate_subject_on_reappearance/a02,Duplicate subject on reappearance,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,profile_routing,Route to the Occlusion and hidden state risk profile and provider capability filter.
A02,failure://occlusion and hidden state/duplicate_subject_on_reappearance/a02,Duplicate subject on reappearance,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,canonical_score,"[""entities"",""continuity.state_ledger"",""continuity.visibility_intervals"",""constraints.continuity_locks""]"
A02,failure://occlusion and hidden state/duplicate_subject_on_reappearance/a02,Duplicate subject on reappearance,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,event_graph,"Add typed nodes/edges only when the failure involves event, causal, role, or transition semantics."
A02,failure://occlusion and hidden state/duplicate_subject_on_reappearance/a02,Duplicate subject on reappearance,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,spatial_state,Carry declared coordinate frame and transition constraints when relevant.
A02,failure://occlusion and hidden state/duplicate_subject_on_reappearance/a02,Duplicate subject on reappearance,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,identity_ledger,"Use stable entity IDs and signatures whenever actors, voices, products, or props can be rebound."
A02,failure://occlusion and hidden state/duplicate_subject_on_reappearance/a02,Duplicate subject on reappearance,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,continuity_ledger,"Record precondition, allowed transition, postcondition, visibility interval, and forbidden changes."
A02,failure://occlusion and hidden state/duplicate_subject_on_reappearance/a02,Duplicate subject on reappearance,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,provider_capability_profile,"Record whether the provider can carry text, reference, keyframe, control-media, seed, repair, and audio requirements without silent loss."
A02,failure://occlusion and hidden state/duplicate_subject_on_reappearance/a02,Duplicate subject on reappearance,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,serialization_strategy,Emit one provider-native authority representation; do not duplicate semantic authorities.
A02,failure://occlusion and hidden state/duplicate_subject_on_reappearance/a02,Duplicate subject on reappearance,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,prompt_compression,"Protect hard locks, causal edges, identities, start/end states, and visibility bridges before style adjectives."
A02,failure://occlusion and hidden state/duplicate_subject_on_reappearance/a02,Duplicate subject on reappearance,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,loss_report,"Report every unsupported, evaluation-only, compressed, or omitted control."
A02,failure://occlusion and hidden state/duplicate_subject_on_reappearance/a02,Duplicate subject on reappearance,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,verification_plan,"[""metric_actor_count_consistency"",""metric_identity_continuity"",""metric_occlusion_continuity""]"
A02,failure://occlusion and hidden state/duplicate_subject_on_reappearance/a02,Duplicate subject on reappearance,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,repair_planner,Repair only the smallest failing interval/shot while preserving passing control IDs.
A02,failure://occlusion and hidden state/duplicate_subject_on_reappearance/a02,Duplicate subject on reappearance,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,experiment_registry,Register matched ablations for A02 with raw artifacts and immutable manifests.
A03,failure://occlusion and hidden state/identity_mutation_behind_occlusion/a03,Identity mutation behind occlusion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,intent_normalization,Preserve the requested invariant and classify ambiguity before compilation.
A03,failure://occlusion and hidden state/identity_mutation_behind_occlusion/a03,Identity mutation behind occlusion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,profile_routing,Route to the Occlusion and hidden state risk profile and provider capability filter.
A03,failure://occlusion and hidden state/identity_mutation_behind_occlusion/a03,Identity mutation behind occlusion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,canonical_score,"[""entities"",""continuity.state_ledger"",""style"",""constraints.continuity_locks"",""assets""]"
A03,failure://occlusion and hidden state/identity_mutation_behind_occlusion/a03,Identity mutation behind occlusion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,event_graph,"Add typed nodes/edges only when the failure involves event, causal, role, or transition semantics."
A03,failure://occlusion and hidden state/identity_mutation_behind_occlusion/a03,Identity mutation behind occlusion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,spatial_state,Carry declared coordinate frame and transition constraints when relevant.
A03,failure://occlusion and hidden state/identity_mutation_behind_occlusion/a03,Identity mutation behind occlusion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,identity_ledger,"Use stable entity IDs and signatures whenever actors, voices, products, or props can be rebound."
A03,failure://occlusion and hidden state/identity_mutation_behind_occlusion/a03,Identity mutation behind occlusion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,continuity_ledger,"Record precondition, allowed transition, postcondition, visibility interval, and forbidden changes."
A03,failure://occlusion and hidden state/identity_mutation_behind_occlusion/a03,Identity mutation behind occlusion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,provider_capability_profile,"Record whether the provider can carry text, reference, keyframe, control-media, seed, repair, and audio requirements without silent loss."
A03,failure://occlusion and hidden state/identity_mutation_behind_occlusion/a03,Identity mutation behind occlusion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,serialization_strategy,Emit one provider-native authority representation; do not duplicate semantic authorities.
A03,failure://occlusion and hidden state/identity_mutation_behind_occlusion/a03,Identity mutation behind occlusion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,prompt_compression,"Protect hard locks, causal edges, identities, start/end states, and visibility bridges before style adjectives."
A03,failure://occlusion and hidden state/identity_mutation_behind_occlusion/a03,Identity mutation behind occlusion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,loss_report,"Report every unsupported, evaluation-only, compressed, or omitted control."
A03,failure://occlusion and hidden state/identity_mutation_behind_occlusion/a03,Identity mutation behind occlusion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,verification_plan,"[""metric_identity_continuity"",""metric_occlusion_continuity"",""metric_object_state_transition""]"
A03,failure://occlusion and hidden state/identity_mutation_behind_occlusion/a03,Identity mutation behind occlusion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,repair_planner,Repair only the smallest failing interval/shot while preserving passing control IDs.
A03,failure://occlusion and hidden state/identity_mutation_behind_occlusion/a03,Identity mutation behind occlusion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,experiment_registry,Register matched ablations for A03 with raw artifacts and immutable manifests.
A04,failure://occlusion and hidden state/reappearance_position_discontinuity/a04,Reappearance-position discontinuity,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,intent_normalization,Preserve the requested invariant and classify ambiguity before compilation.
A04,failure://occlusion and hidden state/reappearance_position_discontinuity/a04,Reappearance-position discontinuity,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,profile_routing,Route to the Occlusion and hidden state risk profile and provider capability filter.
A04,failure://occlusion and hidden state/reappearance_position_discontinuity/a04,Reappearance-position discontinuity,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,canonical_score,"[""continuity.visibility_intervals"",""shots"",""camera"",""actions"",""constraints.continuity_locks""]"
A04,failure://occlusion and hidden state/reappearance_position_discontinuity/a04,Reappearance-position discontinuity,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,event_graph,"Add typed nodes/edges only when the failure involves event, causal, role, or transition semantics."
A04,failure://occlusion and hidden state/reappearance_position_discontinuity/a04,Reappearance-position discontinuity,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,spatial_state,Carry declared coordinate frame and transition constraints when relevant.
A04,failure://occlusion and hidden state/reappearance_position_discontinuity/a04,Reappearance-position discontinuity,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,identity_ledger,"Use stable entity IDs and signatures whenever actors, voices, products, or props can be rebound."
A04,failure://occlusion and hidden state/reappearance_position_discontinuity/a04,Reappearance-position discontinuity,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,continuity_ledger,"Record precondition, allowed transition, postcondition, visibility interval, and forbidden changes."
A04,failure://occlusion and hidden state/reappearance_position_discontinuity/a04,Reappearance-position discontinuity,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,provider_capability_profile,"Record whether the provider can carry text, reference, keyframe, control-media, seed, repair, and audio requirements without silent loss."
A04,failure://occlusion and hidden state/reappearance_position_discontinuity/a04,Reappearance-position discontinuity,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,serialization_strategy,Emit one provider-native authority representation; do not duplicate semantic authorities.
A04,failure://occlusion and hidden state/reappearance_position_discontinuity/a04,Reappearance-position discontinuity,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,prompt_compression,"Protect hard locks, causal edges, identities, start/end states, and visibility bridges before style adjectives."
A04,failure://occlusion and hidden state/reappearance_position_discontinuity/a04,Reappearance-position discontinuity,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,loss_report,"Report every unsupported, evaluation-only, compressed, or omitted control."
A04,failure://occlusion and hidden state/reappearance_position_discontinuity/a04,Reappearance-position discontinuity,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,verification_plan,"[""metric_reappearance_position_error"",""metric_screen_direction_consistency"",""metric_spatial_relation_accuracy"",""metric_camera_motion_agreement""]"
A04,failure://occlusion and hidden state/reappearance_position_discontinuity/a04,Reappearance-position discontinuity,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,repair_planner,Repair only the smallest failing interval/shot while preserving passing control IDs.
A04,failure://occlusion and hidden state/reappearance_position_discontinuity/a04,Reappearance-position discontinuity,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,experiment_registry,Register matched ablations for A04 with raw artifacts and immutable manifests.
A05,failure://occlusion and hidden state/subject_occluder_fusion/a05,Subject–occluder fusion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,intent_normalization,Preserve the requested invariant and classify ambiguity before compilation.
A05,failure://occlusion and hidden state/subject_occluder_fusion/a05,Subject–occluder fusion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,profile_routing,Route to the Occlusion and hidden state risk profile and provider capability filter.
A05,failure://occlusion and hidden state/subject_occluder_fusion/a05,Subject–occluder fusion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,canonical_score,"[""entities"",""interactions"",""continuity.visibility_intervals"",""style"",""constraints.continuity_locks""]"
A05,failure://occlusion and hidden state/subject_occluder_fusion/a05,Subject–occluder fusion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,event_graph,"Add typed nodes/edges only when the failure involves event, causal, role, or transition semantics."
A05,failure://occlusion and hidden state/subject_occluder_fusion/a05,Subject–occluder fusion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,spatial_state,Carry declared coordinate frame and transition constraints when relevant.
A05,failure://occlusion and hidden state/subject_occluder_fusion/a05,Subject–occluder fusion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,identity_ledger,"Use stable entity IDs and signatures whenever actors, voices, products, or props can be rebound."
A05,failure://occlusion and hidden state/subject_occluder_fusion/a05,Subject–occluder fusion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,continuity_ledger,"Record precondition, allowed transition, postcondition, visibility interval, and forbidden changes."
A05,failure://occlusion and hidden state/subject_occluder_fusion/a05,Subject–occluder fusion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,provider_capability_profile,"Record whether the provider can carry text, reference, keyframe, control-media, seed, repair, and audio requirements without silent loss."
A05,failure://occlusion and hidden state/subject_occluder_fusion/a05,Subject–occluder fusion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,serialization_strategy,Emit one provider-native authority representation; do not duplicate semantic authorities.
A05,failure://occlusion and hidden state/subject_occluder_fusion/a05,Subject–occluder fusion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,prompt_compression,"Protect hard locks, causal edges, identities, start/end states, and visibility bridges before style adjectives."
A05,failure://occlusion and hidden state/subject_occluder_fusion/a05,Subject–occluder fusion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,loss_report,"Report every unsupported, evaluation-only, compressed, or omitted control."
A05,failure://occlusion and hidden state/subject_occluder_fusion/a05,Subject–occluder fusion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,verification_plan,"[""metric_identity_continuity"",""metric_penetration_duration"",""metric_material_state_consistency"",""metric_actor_count_consistency""]"
A05,failure://occlusion and hidden state/subject_occluder_fusion/a05,Subject–occluder fusion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,repair_planner,Repair only the smallest failing interval/shot while preserving passing control IDs.
A05,failure://occlusion and hidden state/subject_occluder_fusion/a05,Subject–occluder fusion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,experiment_registry,Register matched ablations for A05 with raw artifacts and immutable manifests.
A06,failure://occlusion and hidden state/submerged_or_hidden_subject_deletion/a06,Submerged or hidden subject deletion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",partially_mitigated_by_prompting,intent_normalization,Preserve the requested invariant and classify ambiguity before compilation.
A06,failure://occlusion and hidden state/submerged_or_hidden_subject_deletion/a06,Submerged or hidden subject deletion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",partially_mitigated_by_prompting,profile_routing,Route to the Occlusion and hidden state risk profile and provider capability filter.
A06,failure://occlusion and hidden state/submerged_or_hidden_subject_deletion/a06,Submerged or hidden subject deletion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",partially_mitigated_by_prompting,canonical_score,"[""entities"",""continuity.state_ledger"",""continuity.visibility_intervals"",""actions"",""constraints.continuity_locks""]"
A06,failure://occlusion and hidden state/submerged_or_hidden_subject_deletion/a06,Submerged or hidden subject deletion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",partially_mitigated_by_prompting,event_graph,"Add typed nodes/edges only when the failure involves event, causal, role, or transition semantics."
A06,failure://occlusion and hidden state/submerged_or_hidden_subject_deletion/a06,Submerged or hidden subject deletion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",partially_mitigated_by_prompting,spatial_state,Carry declared coordinate frame and transition constraints when relevant.
A06,failure://occlusion and hidden state/submerged_or_hidden_subject_deletion/a06,Submerged or hidden subject deletion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",partially_mitigated_by_prompting,identity_ledger,"Use stable entity IDs and signatures whenever actors, voices, products, or props can be rebound."
A06,failure://occlusion and hidden state/submerged_or_hidden_subject_deletion/a06,Submerged or hidden subject deletion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",partially_mitigated_by_prompting,continuity_ledger,"Record precondition, allowed transition, postcondition, visibility interval, and forbidden changes."
A06,failure://occlusion and hidden state/submerged_or_hidden_subject_deletion/a06,Submerged or hidden subject deletion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",partially_mitigated_by_prompting,provider_capability_profile,"Record whether the provider can carry text, reference, keyframe, control-media, seed, repair, and audio requirements without silent loss."
A06,failure://occlusion and hidden state/submerged_or_hidden_subject_deletion/a06,Submerged or hidden subject deletion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",partially_mitigated_by_prompting,serialization_strategy,Emit one provider-native authority representation; do not duplicate semantic authorities.
A06,failure://occlusion and hidden state/submerged_or_hidden_subject_deletion/a06,Submerged or hidden subject deletion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",partially_mitigated_by_prompting,prompt_compression,"Protect hard locks, causal edges, identities, start/end states, and visibility bridges before style adjectives."
A06,failure://occlusion and hidden state/submerged_or_hidden_subject_deletion/a06,Submerged or hidden subject deletion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",partially_mitigated_by_prompting,loss_report,"Report every unsupported, evaluation-only, compressed, or omitted control."
A06,failure://occlusion and hidden state/submerged_or_hidden_subject_deletion/a06,Submerged or hidden subject deletion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",partially_mitigated_by_prompting,verification_plan,"[""metric_actor_count_consistency"",""metric_object_count_persistence"",""metric_event_graph_agreement"",""metric_occlusion_continuity""]"
A06,failure://occlusion and hidden state/submerged_or_hidden_subject_deletion/a06,Submerged or hidden subject deletion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",partially_mitigated_by_prompting,repair_planner,Repair only the smallest failing interval/shot while preserving passing control IDs.
A06,failure://occlusion and hidden state/submerged_or_hidden_subject_deletion/a06,Submerged or hidden subject deletion,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",partially_mitigated_by_prompting,experiment_registry,Register matched ablations for A06 with raw artifacts and immutable manifests.
A07,failure://occlusion and hidden state/visibility_bridge_attachment_loss/a07,Visibility-bridge attachment loss,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,intent_normalization,Preserve the requested invariant and classify ambiguity before compilation.
A07,failure://occlusion and hidden state/visibility_bridge_attachment_loss/a07,Visibility-bridge attachment loss,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,profile_routing,Route to the Occlusion and hidden state risk profile and provider capability filter.
A07,failure://occlusion and hidden state/visibility_bridge_attachment_loss/a07,Visibility-bridge attachment loss,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,canonical_score,"[""entities"",""continuity.visibility_intervals"",""provider_neutral_controls"",""verification_requirements""]"
A07,failure://occlusion and hidden state/visibility_bridge_attachment_loss/a07,Visibility-bridge attachment loss,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,event_graph,"Add typed nodes/edges only when the failure involves event, causal, role, or transition semantics."
A07,failure://occlusion and hidden state/visibility_bridge_attachment_loss/a07,Visibility-bridge attachment loss,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,spatial_state,Carry declared coordinate frame and transition constraints when relevant.
A07,failure://occlusion and hidden state/visibility_bridge_attachment_loss/a07,Visibility-bridge attachment loss,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,identity_ledger,"Use stable entity IDs and signatures whenever actors, voices, products, or props can be rebound."
A07,failure://occlusion and hidden state/visibility_bridge_attachment_loss/a07,Visibility-bridge attachment loss,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,continuity_ledger,"Record precondition, allowed transition, postcondition, visibility interval, and forbidden changes."
A07,failure://occlusion and hidden state/visibility_bridge_attachment_loss/a07,Visibility-bridge attachment loss,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,provider_capability_profile,"Record whether the provider can carry text, reference, keyframe, control-media, seed, repair, and audio requirements without silent loss."
A07,failure://occlusion and hidden state/visibility_bridge_attachment_loss/a07,Visibility-bridge attachment loss,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,serialization_strategy,Emit one provider-native authority representation; do not duplicate semantic authorities.
A07,failure://occlusion and hidden state/visibility_bridge_attachment_loss/a07,Visibility-bridge attachment loss,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,prompt_compression,"Protect hard locks, causal edges, identities, start/end states, and visibility bridges before style adjectives."
A07,failure://occlusion and hidden state/visibility_bridge_attachment_loss/a07,Visibility-bridge attachment loss,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,loss_report,"Report every unsupported, evaluation-only, compressed, or omitted control."
A07,failure://occlusion and hidden state/visibility_bridge_attachment_loss/a07,Visibility-bridge attachment loss,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,verification_plan,"[""metric_visibility_bridge_coverage"",""metric_reappearance_position_error"",""metric_identity_continuity"",""metric_evaluator_disagreement""]"
