failure_code,failure_id,category,failure_name,severity,controllability,mitigation_order,mitigation_level,mitigation_level_name,method,expected_benefit,token_or_character_cost,generation_cost_impact,risk_of_new_failure,provider_dependency,evidence_strength,verification_method,verification_metric_ids,rollback,limitations,source_refs,research_status
A04,failure://occlusion and hidden state/reappearance_position_discontinuity/a04,Occlusion and hidden state,Reappearance-position discontinuity,high,requires_visual_or_control_conditioning,2,L4,"pose, mask, depth, trajectory, or control video","Use point tracks, pose trajectory, depth path, or a control video through the hidden interval.",Constrains the missing trajectory directly.,low prompt cost; medium asset preparation cost,additional asset preparation and/or multiple generated clips,"Can introduce boundary, compositing, reference-transfer, or motion-stiffness artifacts; verify all preserved controls.",provider capability and adapter dependent,mechanistically strong control escalation; exact benefit requires live provider tests,"Re-run metric_reappearance_position_error, metric_screen_direction_consistency, metric_spatial_relation_accuracy, metric_camera_motion_agreement on paired seeds and retain per-seed outcomes.","[""metric_reappearance_position_error"",""metric_screen_direction_consistency"",""metric_spatial_relation_accuracy"",""metric_camera_motion_agreement""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B012"",""B013"",""B019"",""B020"",""B021""]",literature-and-repository-grounded; live provider qualification pending
A04,failure://occlusion and hidden state/reappearance_position_discontinuity/a04,Occlusion and hidden state,Reappearance-position discontinuity,high,requires_visual_or_control_conditioning,3,L5,shot decomposition,Cut before full disappearance and resume from an authored reappearance keyframe in a second shot.,Replaces hidden long-range inference with an explicit edit boundary.,minimal prompt cost; workflow cost may be high,"localized regeneration, substitution, or postproduction","May change style, timing, or already-passing regions; full regression verification required.",provider capability and adapter dependent,fallback intervention; use only after the lower level fails its paired-seed gate,"Re-run metric_reappearance_position_error, metric_screen_direction_consistency, metric_spatial_relation_accuracy, metric_camera_motion_agreement on paired seeds and retain per-seed outcomes.","[""metric_reappearance_position_error"",""metric_screen_direction_consistency"",""metric_spatial_relation_accuracy"",""metric_camera_motion_agreement""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B012"",""B013"",""B019"",""B020"",""B021""]",literature-and-repository-grounded; live provider qualification pending
A05,failure://occlusion and hidden state/subject_occluder_fusion/a05,Occlusion and hidden state,Subject–occluder fusion,high,requires_visual_or_control_conditioning,1,L2,canonical event/state contract,"Declare distinct entity/material IDs, topology invariants, and whether overlap is occlusion, contact, or transformation; forbid cross-material identity transfer.",Separates semantic entities and allowed interaction types.,low-to-medium,none-to-one additional candidate,May dilute other controls if added without compression.,provider capability and adapter dependent,moderate-to-strong where supported by cited benchmark/control literature; provider-specific effect size unqualified,"Re-run metric_identity_continuity, metric_penetration_duration, metric_material_state_consistency, metric_actor_count_consistency on paired seeds and retain per-seed outcomes.","[""metric_identity_continuity"",""metric_penetration_duration"",""metric_material_state_consistency"",""metric_actor_count_consistency""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B013"",""B016"",""B017"",""B018""]",literature-and-repository-grounded; live provider qualification pending
A05,failure://occlusion and hidden state/subject_occluder_fusion/a05,Occlusion and hidden state,Subject–occluder fusion,high,requires_visual_or_control_conditioning,2,L4,"pose, mask, depth, trajectory, or control video",Provide separate subject and occluder masks/layers or a control composite with tracked boundaries.,Enforces separability at the carrier level.,low prompt cost; medium asset preparation cost,additional asset preparation and/or multiple generated clips,"Can introduce boundary, compositing, reference-transfer, or motion-stiffness artifacts; verify all preserved controls.",provider capability and adapter dependent,mechanistically strong control escalation; exact benefit requires live provider tests,"Re-run metric_identity_continuity, metric_penetration_duration, metric_material_state_consistency, metric_actor_count_consistency on paired seeds and retain per-seed outcomes.","[""metric_identity_continuity"",""metric_penetration_duration"",""metric_material_state_consistency"",""metric_actor_count_consistency""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B013"",""B016"",""B017"",""B018""]",literature-and-repository-grounded; live provider qualification pending
A05,failure://occlusion and hidden state/subject_occluder_fusion/a05,Occlusion and hidden state,Subject–occluder fusion,high,requires_visual_or_control_conditioning,3,L6,postproduction/compositing,"Generate clean subject motion and occluder/effect separately, then composite with tracked mattes.","Avoids asking the generator to solve topology, identity, and VFX simultaneously.",minimal prompt cost; workflow cost may be high,"localized regeneration, substitution, or postproduction","May change style, timing, or already-passing regions; full regression verification required.",provider capability and adapter dependent,fallback intervention; use only after the lower level fails its paired-seed gate,"Re-run metric_identity_continuity, metric_penetration_duration, metric_material_state_consistency, metric_actor_count_consistency on paired seeds and retain per-seed outcomes.","[""metric_identity_continuity"",""metric_penetration_duration"",""metric_material_state_consistency"",""metric_actor_count_consistency""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B013"",""B016"",""B017"",""B018""]",literature-and-repository-grounded; live provider qualification pending
A06,failure://occlusion and hidden state/submerged_or_hidden_subject_deletion/a06,Occlusion and hidden state,Submerged or hidden subject deletion,high,partially_mitigated_by_prompting,1,L0,wording repair,Replace ambiguous disappearance language with 'remains present but fully hidden' and name the mandatory reappearance event.,Removes a high-risk lexical ambiguity at minimal cost.,low-to-medium,none-to-one additional candidate,May dilute other controls if added without compression.,provider capability and adapter dependent,moderate-to-strong where supported by cited benchmark/control literature; provider-specific effect size unqualified,"Re-run metric_actor_count_consistency, metric_object_count_persistence, metric_event_graph_agreement, metric_occlusion_continuity on paired seeds and retain per-seed outcomes.","[""metric_actor_count_consistency"",""metric_object_count_persistence"",""metric_event_graph_agreement"",""metric_occlusion_continuity""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B011"",""B012"",""B013"",""B014""]",literature-and-repository-grounded; live provider qualification pending
A06,failure://occlusion and hidden state/submerged_or_hidden_subject_deletion/a06,Occlusion and hidden state,Submerged or hidden subject deletion,high,partially_mitigated_by_prompting,2,L2,canonical event/state contract,"Represent visibility separately from existence: entity.exists=true, entity.visible=false during the interval, with a required reappearance transition.",Prevents visibility loss from authorizing entity deletion in the canonical score.,low,one additional candidate,"Can introduce boundary, compositing, reference-transfer, or motion-stiffness artifacts; verify all preserved controls.",provider capability and adapter dependent,mechanistically strong control escalation; exact benefit requires live provider tests,"Re-run metric_actor_count_consistency, metric_object_count_persistence, metric_event_graph_agreement, metric_occlusion_continuity on paired seeds and retain per-seed outcomes.","[""metric_actor_count_consistency"",""metric_object_count_persistence"",""metric_event_graph_agreement"",""metric_occlusion_continuity""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B011"",""B012"",""B013"",""B014""]",literature-and-repository-grounded; live provider qualification pending
A06,failure://occlusion and hidden state/submerged_or_hidden_subject_deletion/a06,Occlusion and hidden state,Submerged or hidden subject deletion,high,partially_mitigated_by_prompting,3,L3,reference image or storyboard,"Provide a reappearance keyframe or storyboard panel and, where possible, a bubble trail/silhouette visibility bridge.",Anchors existence and downstream position visually.,minimal prompt cost; workflow cost may be high,"localized regeneration, substitution, or postproduction","May change style, timing, or already-passing regions; full regression verification required.",provider capability and adapter dependent,fallback intervention; use only after the lower level fails its paired-seed gate,"Re-run metric_actor_count_consistency, metric_object_count_persistence, metric_event_graph_agreement, metric_occlusion_continuity on paired seeds and retain per-seed outcomes.","[""metric_actor_count_consistency"",""metric_object_count_persistence"",""metric_event_graph_agreement"",""metric_occlusion_continuity""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B011"",""B012"",""B013"",""B014""]",literature-and-repository-grounded; live provider qualification pending
A07,failure://occlusion and hidden state/visibility_bridge_attachment_loss/a07,Occlusion and hidden state,Visibility-bridge attachment loss,high,requires_visual_or_control_conditioning,1,L2,canonical event/state contract,"Bind every visibility bridge to a stable subject ID, coordinate frame, interval, and expected reappearance state.",Prevents a bridge from being treated as a generic visual effect.,low-to-medium,none-to-one additional candidate,May dilute other controls if added without compression.,provider capability and adapter dependent,moderate-to-strong where supported by cited benchmark/control literature; provider-specific effect size unqualified,"Re-run metric_visibility_bridge_coverage, metric_reappearance_position_error, metric_identity_continuity, metric_evaluator_disagreement on paired seeds and retain per-seed outcomes.","[""metric_visibility_bridge_coverage"",""metric_reappearance_position_error"",""metric_identity_continuity"",""metric_evaluator_disagreement""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B013"",""B018"",""B019"",""B020""]",literature-and-repository-grounded; live provider qualification pending
A07,failure://occlusion and hidden state/visibility_bridge_attachment_loss/a07,Occlusion and hidden state,Visibility-bridge attachment loss,high,requires_visual_or_control_conditioning,2,L4,"pose, mask, depth, trajectory, or control video",Use per-actor nonoverlapping masks/tracks and validate control assets before generation.,Makes attachment explicit and machine-checkable.,low prompt cost; medium asset preparation cost,additional asset preparation and/or multiple generated clips,"Can introduce boundary, compositing, reference-transfer, or motion-stiffness artifacts; verify all preserved controls.",provider capability and adapter dependent,mechanistically strong control escalation; exact benefit requires live provider tests,"Re-run metric_visibility_bridge_coverage, metric_reappearance_position_error, metric_identity_continuity, metric_evaluator_disagreement on paired seeds and retain per-seed outcomes.","[""metric_visibility_bridge_coverage"",""metric_reappearance_position_error"",""metric_identity_continuity"",""metric_evaluator_disagreement""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B013"",""B018"",""B019"",""B020""]",literature-and-repository-grounded; live provider qualification pending
A07,failure://occlusion and hidden state/visibility_bridge_attachment_loss/a07,Occlusion and hidden state,Visibility-bridge attachment loss,high,requires_visual_or_control_conditioning,3,L5,shot decomposition,Avoid multi-actor full occlusion in one shot; isolate each hidden trajectory or use a cut.,Reduces attachment ambiguity at the scene-design level.,minimal prompt cost; workflow cost may be high,"localized regeneration, substitution, or postproduction","May change style, timing, or already-passing regions; full regression verification required.",provider capability and adapter dependent,fallback intervention; use only after the lower level fails its paired-seed gate,"Re-run metric_visibility_bridge_coverage, metric_reappearance_position_error, metric_identity_continuity, metric_evaluator_disagreement on paired seeds and retain per-seed outcomes.","[""metric_visibility_bridge_coverage"",""metric_reappearance_position_error"",""metric_identity_continuity"",""metric_evaluator_disagreement""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B013"",""B018"",""B019"",""B020""]",literature-and-repository-grounded; live provider qualification pending
B01,failure://object permanence and state/object_disappearance/b01,Object permanence and state,Object disappearance,high,requires_visual_or_control_conditioning,1,L2,canonical event/state contract,"Create a State Ledger entry with stable object ID, count, dimensions, material, holder/location, visibility, and legal transitions at every beat boundary.",Makes persistence and possession explicit across the clip.,low-to-medium,none-to-one additional candidate,May dilute other controls if added without compression.,provider capability and adapter dependent,moderate-to-strong where supported by cited benchmark/control literature; provider-specific effect size unqualified,"Re-run metric_object_count_persistence, metric_object_state_transition, metric_identity_continuity on paired seeds and retain per-seed outcomes.","[""metric_object_count_persistence"",""metric_object_state_transition"",""metric_identity_continuity""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B011"",""B012"",""B013"",""B017""]",literature-and-repository-grounded; live provider qualification pending
B01,failure://object permanence and state/object_disappearance/b01,Object permanence and state,Object disappearance,high,requires_visual_or_control_conditioning,2,L3,reference image or storyboard,Use product/prop references and keyframes at every critical state or shot boundary.,Anchors appearance and presence where text may be weak.,low prompt cost; medium asset preparation cost,additional asset preparation and/or multiple generated clips,"Can introduce boundary, compositing, reference-transfer, or motion-stiffness artifacts; verify all preserved controls.",provider capability and adapter dependent,mechanistically strong control escalation; exact benefit requires live provider tests,"Re-run metric_object_count_persistence, metric_object_state_transition, metric_identity_continuity on paired seeds and retain per-seed outcomes.","[""metric_object_count_persistence"",""metric_object_state_transition"",""metric_identity_continuity""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B011"",""B012"",""B013"",""B017""]",literature-and-repository-grounded; live provider qualification pending
B01,failure://object permanence and state/object_disappearance/b01,Object permanence and state,Object disappearance,high,requires_visual_or_control_conditioning,3,L7,regenerate only the failing interval,"Regenerate only the first interval where the object is lost, using fixed boundary frames and preservation checks.",Targets the earliest divergence before downstream errors compound.,minimal prompt cost; workflow cost may be high,"localized regeneration, substitution, or postproduction","May change style, timing, or already-passing regions; full regression verification required.",provider capability and adapter dependent,fallback intervention; use only after the lower level fails its paired-seed gate,"Re-run metric_object_count_persistence, metric_object_state_transition, metric_identity_continuity on paired seeds and retain per-seed outcomes.","[""metric_object_count_persistence"",""metric_object_state_transition"",""metric_identity_continuity""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B011"",""B012"",""B013"",""B017""]",literature-and-repository-grounded; live provider qualification pending
B02,failure://object permanence and state/spontaneous_object_duplication/b02,Object permanence and state,Spontaneous object duplication,high,requires_visual_or_control_conditioning,1,L2,canonical event/state contract,Hard-lock object_count=1 and encode an exclusive possession transition with release preceding acquire.,Eliminates simultaneous ownership and duplicate interpretations from the target contract.,low-to-medium,none-to-one additional candidate,May dilute other controls if added without compression.,provider capability and adapter dependent,moderate-to-strong where supported by cited benchmark/control literature; provider-specific effect size unqualified,"Re-run metric_object_count_persistence, metric_object_state_transition, metric_contact_distance on paired seeds and retain per-seed outcomes.","[""metric_object_count_persistence"",""metric_object_state_transition"",""metric_contact_distance""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B011"",""B013"",""B017"",""B018""]",literature-and-repository-grounded; live provider qualification pending
B02,failure://object permanence and state/spontaneous_object_duplication/b02,Object permanence and state,Spontaneous object duplication,high,requires_visual_or_control_conditioning,2,L4,"pose, mask, depth, trajectory, or control video",Track the object with a mask/point trajectory or provide handoff control frames.,Carries one continuous object identity through the interaction.,low prompt cost; medium asset preparation cost,additional asset preparation and/or multiple generated clips,"Can introduce boundary, compositing, reference-transfer, or motion-stiffness artifacts; verify all preserved controls.",provider capability and adapter dependent,mechanistically strong control escalation; exact benefit requires live provider tests,"Re-run metric_object_count_persistence, metric_object_state_transition, metric_contact_distance on paired seeds and retain per-seed outcomes.","[""metric_object_count_persistence"",""metric_object_state_transition"",""metric_contact_distance""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B011"",""B013"",""B017"",""B018""]",literature-and-repository-grounded; live provider qualification pending
B02,failure://object permanence and state/spontaneous_object_duplication/b02,Object permanence and state,Spontaneous object duplication,high,requires_visual_or_control_conditioning,3,L6,postproduction/compositing,Composite or paint out duplicate objects after validating the intended trajectory.,Provides deterministic count correction when interaction generation remains unstable.,minimal prompt cost; workflow cost may be high,"localized regeneration, substitution, or postproduction","May change style, timing, or already-passing regions; full regression verification required.",provider capability and adapter dependent,fallback intervention; use only after the lower level fails its paired-seed gate,"Re-run metric_object_count_persistence, metric_object_state_transition, metric_contact_distance on paired seeds and retain per-seed outcomes.","[""metric_object_count_persistence"",""metric_object_state_transition"",""metric_contact_distance""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B011"",""B013"",""B017"",""B018""]",literature-and-repository-grounded; live provider qualification pending
B03,failure://object permanence and state/prop_replacement/b03,Object permanence and state,Prop replacement,high,requires_visual_or_control_conditioning,1,L2,canonical event/state contract,"Encode immutable product identity, key dimensions, material, brand-critical marks, and allowed articulation separately from action.",Distinguishes fixed identity from permitted mechanical state changes.,low-to-medium,none-to-one additional candidate,May dilute other controls if added without compression.,provider capability and adapter dependent,moderate-to-strong where supported by cited benchmark/control literature; provider-specific effect size unqualified,"Re-run metric_identity_continuity, metric_object_state_transition, metric_human_readability on paired seeds and retain per-seed outcomes.","[""metric_identity_continuity"",""metric_object_state_transition"",""metric_human_readability""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B002"",""B011"",""B015"",""B017""]",literature-and-repository-grounded; live provider qualification pending
B03,failure://object permanence and state/prop_replacement/b03,Object permanence and state,Prop replacement,high,requires_visual_or_control_conditioning,2,L3,reference image or storyboard,Provide multi-view product references and state-specific keyframes for each manipulation stage.,Supplies the geometry and appearance that prose cannot reliably specify.,low prompt cost; medium asset preparation cost,additional asset preparation and/or multiple generated clips,"Can introduce boundary, compositing, reference-transfer, or motion-stiffness artifacts; verify all preserved controls.",provider capability and adapter dependent,mechanistically strong control escalation; exact benefit requires live provider tests,"Re-run metric_identity_continuity, metric_object_state_transition, metric_human_readability on paired seeds and retain per-seed outcomes.","[""metric_identity_continuity"",""metric_object_state_transition"",""metric_human_readability""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B002"",""B011"",""B015"",""B017""]",literature-and-repository-grounded; live provider qualification pending
B03,failure://object permanence and state/prop_replacement/b03,Object permanence and state,Prop replacement,high,requires_visual_or_control_conditioning,3,L6,postproduction/compositing,Render or composite the product separately with tracked hands/occlusion mattes.,Protects brand/product geometry when model-native manipulation is unreliable.,minimal prompt cost; workflow cost may be high,"localized regeneration, substitution, or postproduction","May change style, timing, or already-passing regions; full regression verification required.",provider capability and adapter dependent,fallback intervention; use only after the lower level fails its paired-seed gate,"Re-run metric_identity_continuity, metric_object_state_transition, metric_human_readability on paired seeds and retain per-seed outcomes.","[""metric_identity_continuity"",""metric_object_state_transition"",""metric_human_readability""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B002"",""B011"",""B015"",""B017""]",literature-and-repository-grounded; live provider qualification pending
