provider,model_family,model_or_endpoint_id,release_or_document_scope,current_status_at_2026_08_05,access_path,documented_generation_modes,documented_inputs,documented_duration,documented_output,documented_audio,documented_reference_or_control_inputs,documented_prompt_limit,seed_or_reproducibility,official_source_ids,empirical_failure_reliability,recommended_cpcs_role,critical_caveats
Alibaba Cloud,Wan 2.7 Text-to-Video,wan2.7-t2v-2026-06-12,docs updated 2026-07-01,current documented API model,Model Studio/DashScope,T2V with audio; multi-shot,text; optional custom audio,2-15s,720p/1080p; 30 fps; MP4,audio synchronization and custom audio documented,audio input; prompt rewriting setting,model-specific,seed support must be checked in exact endpoint,M014,NOT ESTABLISHED by official documentation; CPCS repeated-seed qualification required,Longer AV and multi-shot qualification after prompt-rewrite policy is fixed.,Provider multi-shot/physics claims require empirical CPCS runs.
Alibaba Cloud,Wan 2.7 Image-to-Video,wan2.7-i2v-2026-04-25,docs updated 2026-06/07,current documented API model,Model Studio/DashScope,first-frame; first+last; continuation; audio-driven,text; image; audio; video continuation input,2-15s,720p/1080p; 30 fps; MP4,automatic dubbing or custom audio documented,first/last frames; continuation; multimodal input,model-specific,same seed should not be treated as exact artifact identity,M014 M024 M025,NOT ESTABLISHED by official documentation; CPCS repeated-seed qualification required,Endpoint-constrained continuity tests and first/last-frame ablations.,Endpoint constraints do not prove the intermediate path; prompt rewriting must be disabled or recorded.
Alibaba Cloud,Wan 2.7 Reference-to-Video,wan2.7-r2v-2026-06-12,docs updated 2026-07,current documented API model,Model Studio/DashScope,reference image/video to video; multi-character,text; images; reference video; audio,2-10s when video reference is supplied; longer without video per API rules,720p/1080p; 30 fps,audio/voice-timbre controls documented,multi-entity references; first frame optional,up to 5000 characters on cited native API summary,fixed seed improves reproducibility but does not guarantee identical output,M014 M025,NOT ESTABLISHED by official documentation; CPCS repeated-seed qualification required,Identity/role/reference qualification.,Reference conflicts and multi-subject consistency still require verification.
Alibaba Cloud,Wan 2.7 VideoEdit,wan2.7-videoedit,docs updated 2026-07,current documented API model,Model Studio/DashScope,instruction-based V2V editing; effect/camera replication,text; image; source video,2-10s,720p/1080p; 30 fps,depends on input/output mode,source video; style/effect/camera reference,model-specific,capture exact input/output hashes,M014,NOT ESTABLISHED by official documentation; CPCS repeated-seed qualification required,Localized repair and effect/camera transfer.,Semantic edits may alter non-target state; verify full continuity ledger.
Lightricks,LTX-2,LTX-2 open weights/workflows,announced 2025-10-23; repository current 2026,open repository and weights/workflows,local inference / ComfyUI / repository,T2V; I2V; V2V; multi-keyframe; extension; control adapters,text; images/keyframes; video; control representations,up to 10s synchronized AV for LTX-2 documented; older 0.9.8 workflows up to 60s,repository claims native 4K/up to 50 fps for LTX-2; validate checkpoint/workflow,synchronized audio-video,multi-keyframe; IC-LoRA/control; camera logic; LoRA,local prompt handling varies,local seed and full config can be captured,M008,NOT ESTABLISHED by official documentation; CPCS repeated-seed qualification required,Reproducible local control-media and keyframe experiments.,"Exact checkpoint, sampler, quantization, VAE, and workflow must be pinned; repository claims need independent qualification."
Wan-Video,Wan 2.2 Open,Wan2.2 T2V/I2V/TI2V/S2V/Animate,released 2025-07 onward,open repository,local inference / Diffusers / ComfyUI,T2V; I2V; TI2V; speech-to-video; character animation/replacement,text; image; audio; pose/reference video depending checkpoint,checkpoint/workflow-specific,480p/720p documented open workflows; checkpoint-specific fps,S2V/audio-driven variants,pose video; source motion; reference character,local,full seed/config capture possible; exact determinism depends runtime,M009,NOT ESTABLISHED by official documentation; CPCS repeated-seed qualification required,"Local controlled experiments, pose/audio controls, and deterministic evidence capture.",Hardware/runtime and checkpoint selection materially affect output.
Tencent Hunyuan,HunyuanVideo 1.5,HunyuanVideo-1.5,released 2025-11 onward,open repository,local inference,T2V; I2V; super-resolution,text; first image,workflow-specific,480p/720p generation; super-resolution to 1080p,not established in cited base repository,image conditioning; prompt rewriting,local,seed and config capture,M010,NOT ESTABLISHED by official documentation; CPCS repeated-seed qualification required,Open-model baseline and architecture-level ablations.,Prompt rewriting and official evaluations must be separated from raw prompt behavior and independent evidence.
Z.ai/THUDM,CogVideoX 1.5,CogVideoX1.5 T2V/I2V,repository current through 2025,open repository,local inference / Diffusers,T2V; I2V; continuation,text; image/video depending checkpoint,10s documented,1360x768 documented for 1.5; workflow-specific fps,not established,first image/video; LLM prompt optimization optional,"long prompts supported by training, exact interface-specific",seed/config capture,M011,NOT ESTABLISHED by official documentation; CPCS repeated-seed qualification required,Open compositional baseline and prompt-optimization ablation.,LLM prompt optimization can change semantics; treat as a separate arm.
Genmo,Mochi 1 Preview,Mochi 1,released 2024 onward,open preview repository,local inference,T2V,text,checkpoint/workflow-specific,repository/workflow-specific,not established,no official structural controls in cited overview,local,seed/config capture,M012,NOT ESTABLISHED by official documentation; CPCS repeated-seed qualification required,Open architecture baseline for compression/temporal failure research.,Preview/open model; not comparable to current commercial services without controlled settings.
Luma AI,Ray 3.2,Ray 3.2 Modify Video,published 2026-05-27,current modify-video workflow,Dream Machine/Luma workflow,V2V modify only,source video; text; many source-indexed keyframes,preserves exact source duration in product guide; product marketing and API limits must be reconciled,HDR/EXR/1080p product controls; exact API availability varies,source audio handling depends workflow,dense arbitrary keyframes; adherence/character controls,interface-specific,source and output hash capture,M017,NOT ESTABLISHED by official documentation; CPCS repeated-seed qualification required,Preservation-heavy restyle/repair where motion and timing already exist.,"It is not T2V, I2V animation, or extension; marketing page and current API exposure must be distinguished."
OpenAI,Sora 2,Sora 2,system card 2025-09-30; status note 2026-04-26,consumer product unavailable as of 2026-04-26; no current public production interface verified,none verified in this pass,historical video+audio generation,historical product inputs,not used for current matrix qualification,not used for current matrix qualification,synchronized audio claimed historically,not currently available for CPCS qualification,not applicable,not applicable,M018,NOT ESTABLISHED by official documentation; CPCS repeated-seed qualification required,None until an official current interface is documented and authorized.,Do not list as currently available merely from the old system card or showcase.
