source_id,title,publisher_or_authors,year_or_date,source_type,evidence_class,url,accessed,scope_or_key_finding,limitations
M001,Generate videos with Veo using first and last frames,Google Cloud,updated 2026-01-02,official_documentation,officially_documented_capability,https://docs.cloud.google.com/vertex-ai/generative-ai/docs/video/generate-videos-from-first-and-last-frames,2026-08-05,"Veo 3.1 supports first/last frame conditioning, 4/6/8-second outputs, 720p/1080p, optional negative prompt, and seed in the documented endpoint.",Capability documentation does not establish adherence reliability.
M002,Runway API reference,Runway,accessed 2026-08-05,official_documentation,officially_documented_capability,https://docs.dev.runwayml.com/api/,2026-08-05,"Documents text-, image-, and video-conditioned endpoints, model identifiers, prompt strings, ratios, durations, seeds, and reference assets.",Runway can expose third-party models; adapter behavior may differ from original providers.
M003,Runway API changelog,Runway,through 2026-07-10,official_documentation,officially_documented_capability,https://docs.dev.runwayml.com/api-details/api_changelog/,2026-08-05,"Version-scopes Gen-4.5, Seedance 2.0, Veo 3.1, Aleph 2.0, and related API controls.","Changelog is interface evidence, not quality evidence."
M004,Seedance 2.0 official launch,ByteDance Seed,2026-02-12,official_model_announcement,officially_documented_capability,https://seed.bytedance.com/blog/seedance-2-0-official-launch,2026-08-05,"Documents unified text/image/audio/video inputs, up to 9 images, 3 videos, 3 audio clips, and up to 15-second multi-shot audio-video output.",Internal benchmark and marketing claims are not independent reliability evidence.
M005,Kling VIDEO 3.0 model user guide,Kling AI,2026-02-06,official_documentation,officially_documented_capability,https://app.klingai.com/cn/quickstart/klingai-video-3-model-user-guide,2026-08-05,"Documents T2V, I2V, first/last frames, native audio, multi-shot, element references, and flexible 3-15 second generation.",Official guide contains promotional quality statements; only interface claims are used as capability evidence.
M006,MiniMax API release notes,MiniMax,2025-10-28,official_documentation,officially_documented_capability,https://platform.minimax.io/docs/release-notes/apis,2026-08-05,Hailuo-2.3 supports T2V and I2V; Hailuo-2.3-Fast supports I2V; documented 768p 6/10s and 1080p 6s outputs.,No independent failure-rate evidence.
M007,MiniMax text-to-video API,MiniMax,accessed 2026-08-05,official_documentation,officially_documented_capability,https://platform.minimax.io/docs/api-reference/video-generation-t2v,2026-08-05,Prompt is a text string up to 2000 characters; documented bracketed camera commands provide a provider-specific syntax.,Camera command support does not guarantee exact choreography.
M008,LTX-Video/LTX-2 official repository,Lightricks,current through 2026,official_model_repository,officially_documented_capability,https://github.com/Lightricks/LTX-Video,2026-08-05,"Documents synchronized audio-video, multiple keyframes, video extension, video-to-video, control models, and up to 10-second LTX-2 outputs.",Repository claims and demos are not independent reliability measurements.
M009,Wan2.2 official repository,Wan-Video,2025-07-28 onward,official_model_repository,officially_documented_capability,https://github.com/Wan-Video/Wan2.2,2026-08-05,"Documents T2V, I2V, unified TI2V, speech-to-video, pose-video control, character animation/replacement, 480p/720p workflows, and seeds through local inference.","Open-model performance depends on checkpoint, sampler, hardware, and configuration."
M010,HunyuanVideo-1.5 official repository,Tencent Hunyuan,2025-11-20 onward,official_model_repository,officially_documented_capability,https://github.com/Tencent-Hunyuan/HunyuanVideo-1.5,2026-08-05,"Documents 8.3B T2V/I2V models, 480p/720p generation, super-resolution, prompt rewriting, seed control, and compressed spatiotemporal latent architecture.",Official evaluation is model-authored and not a substitute for CPCS qualification.
M011,CogVideo/CogVideoX official repository,Z.ai/THUDM,current through 2025,official_model_repository,officially_documented_capability,https://github.com/zai-org/CogVideo,2026-08-05,"Documents CogVideoX1.5 T2V/I2V, 10-second generation, resolutions, frames, and local seed-based inference.",Current commercial QingYing behavior is outside the open repository scope.
M012,Mochi 1 official repository,Genmo,2024 onward,official_model_repository,officially_documented_capability,https://github.com/genmoai/mochi,2026-08-05,Documents a 10B AsymmDiT and a 128x-compressed causal video latent representation for open T2V generation.,Repository preview does not document all hosted product controls or current service limits.
M013,Veo 3.1 model documentation,Google Cloud,updated through 2026,official_documentation,officially_documented_capability,https://docs.cloud.google.com/vertex-ai/generative-ai/docs/models/veo/3-1-generate,2026-08-05,"Documents Veo 3.1 model IDs, modes, resolutions, durations, and endpoint-specific capability differences.",Google pages expose conflicting or endpoint-specific sound/reference statements; package marks audio capability as requiring endpoint verification.
B001,VBench/VBench++/VBench-2.0,Vchitect and collaborators,CVPR 2024; later extensions,official_benchmark_repository,benchmark_result,https://github.com/Vchitect/VBench,2026-08-05,"Fine-grained evaluation dimensions include subject/background consistency, temporal flicker, motion smoothness, multiple objects, spatial relations, and semantics; human-alignment annotations are provided.",Aggregate metrics can hide localized failures and inherit evaluator biases.
B002,T2V-CompBench,Sun et al.,CVPR 2025,official_benchmark_repository,benchmark_result,https://github.com/KaiyueSun98/T2V-CompBench,2026-08-05,"Benchmarks attribute binding, spatial relationships, motion/action binding, object interactions, and generative numeracy; reports compositional generation remains highly challenging.",Primarily T2V and benchmark-prompt scoped; commercial model versions age quickly.
B003,TC-Bench,Feng et al.,Findings of ACL 2025,peer_reviewed_paper,benchmark_result,https://aclanthology.org/2025.findings-acl.241/,2026-08-05,Evaluates temporal compositionality using explicit initial/final states and transition completeness; metrics correlate more strongly with humans than prior metrics in the study.,Does not directly isolate every production failure type.
B004,VideoPhy-2,Bansal et al.; Google Research/UCLA,ICLR 2026,peer_reviewed_benchmark,benchmark_result,https://research.google/pubs/videophy-2-a-challenging-action-centric-physical-commonsense-evaluation-in-video-generation/,2026-08-05,"On the hard subset, the best evaluated model achieved 22% joint semantic-and-physical adherence; conservation of mass and momentum were particularly difficult.","Results apply to evaluated versions and prompts, not every current provider release."
B005,PhyGenBench,Meng et al.,ICML 2025,official_benchmark_repository,benchmark_result,https://github.com/OpenGVLab/PhyGenBench,2026-08-05,160 prompts cover 27 physical laws; authors report current models struggle and prompt engineering alone is insufficient for dynamic physical phenomena.,Automated hierarchical evaluation still needs human calibration.
B006,WorldModelBench,Li et al.,CVPR 2025 workshop oral,official_benchmark_repository,benchmark_result,https://github.com/WorldModelBench-Team/WorldModelBench,2026-08-05,"Evaluates instruction following, common sense, and physical adherence over 350 prompts and seven application domains with a human-aligned VLM judge.",Judge-based results inherit the judge's model and training distribution.
B007,Physics-IQ Verified,Rädsch et al.,2026,research_paper,benchmark_audit,https://arxiv.org/abs/2606.18943,2026-08-05,"Audits Physics-IQ, revises prompts/ground truth, and reports meaningful ranking changes, demonstrating benchmark construction can materially alter conclusions.",Recent preprint; not yet peer reviewed at access date.
B008,VideoScore,He et al.,EMNLP 2024,official_metric_repository,benchmark_result,https://github.com/TIGER-AI-Lab/VideoScore,2026-08-05,"Uses 37.6K human-scored generated videos; reports strong but imperfect human correlation, supporting learned evaluators as proxies rather than authorities.","Domain shift, fast events, and unseen artifact classes remain risks."
B009,EvalCrafter,Liu et al.,CVPR 2024,official_benchmark_repository,benchmark_result,https://github.com/evalcrafter/EvalCrafter,2026-08-05,"Combines 17 objective metrics and human feedback across visual, content, motion, temporal consistency, and alignment dimensions.",Multiple metrics do not eliminate correlated evaluator failure.
B010,ChronoMagic-Bench,Yuan et al.,NeurIPS 2024,official_benchmark_repository,benchmark_result,https://github.com/PKU-YuanGroup/ChronoMagic-Bench,2026-08-05,Evaluates metamorphic progression and temporal coherence over long visual transformations.,Time-lapse focus does not directly cover all interaction/contact failures.
B011,WorldBench: How Close are World Models to the Physical World?,Upadhyay et al.,2025,benchmark_project,benchmark_result,https://world-bench.github.io/,2026-08-05,Reports degradation with prediction horizon and identifies object permanence as the hardest scenario in its benchmark.,Synthetic/controlled benchmark; title-level results should not be generalized to every commercial model.
B012,Temporally Consistent Transformers for Video Generation,Yan et al.,ICML 2023,peer_reviewed_paper,experimental_result,https://proceedings.mlr.press/v202/yan23b.html,2026-08-05,Documents that models can invent different content when a scene leaves view and is revisited; introduces long-range consistency datasets and TECO.,Video prediction setting differs from prompt-only commercial generation but exposes the same hidden-state problem.
B013,Tracking through Containers and Occluders in the Wild,Van Hoorick et al.,CVPR 2023,peer_reviewed_paper,benchmark_result,https://tcow.cs.columbia.edu/,2026-08-05,Defines object-permanence tracking under heavy occlusion/containment and finds a substantial remaining performance gap.,"Perception benchmark, not a generator benchmark; used to design verification and visibility bridges."
B014,MemoBench,Chen et al.,2026,research_preprint,benchmark_result,https://arxiv.org/abs/2606.27537,2026-08-05,Tests disappear-and-reappear memory while hidden objects continue changing state.,Recent preprint; version and leaderboard may change.
B015,EntityBench,He et al.,2026,research_preprint,benchmark_result,https://arxiv.org/abs/2605.15199,2026-08-05,"Tracks characters, objects, and locations across up to 50 shots; reports consistency degradation with recurrence distance and benefit from explicit entity memory.",Recent preprint; multi-shot systems and metrics may evolve.
B016,GeCo,Gu et al.,2025,research_preprint,benchmark_and_metric,https://arxiv.org/abs/2512.22274,2026-08-05,Introduces dense geometry-grounded maps for deformation and occlusion inconsistency and uses them as a training-free guidance signal.,Static-scene emphasis and learned depth/motion priors limit universal coverage.
B017,TOC-Bench,Chen et al.,2026,research_preprint,benchmark_result,https://arxiv.org/abs/2605.09904,2026-08-05,"Shows video-LLMs remain weak on object identity, state, event ordering, and hallucination-aware verification across occlusion and reappearance.","Evaluates video understanding, not generation; directly informs evaluator-risk controls."
B018,SAM 2,Meta FAIR,2024,official_model_publication,measurement_tool,https://ai.meta.com/research/publications/sam-2-segment-anything-in-images-and-videos/,2026-08-05,"Promptable video segmentation with streaming memory; suitable for masks, counts, and continuity traces.","Segmentation errors under blur, reflections, occlusion, small subjects, and stylized content must be calibrated."
B019,CoTracker3,Karaev et al.,2024,official_project,measurement_tool,https://cotracker3.github.io/,2026-08-05,Tracks visible and occluded points and supports long trajectories.,"Tracking can swap identities or lose points in severe occlusion, cuts, deformation, and out-of-distribution imagery."
B020,TAPIR,Doersch et al.,ICCV 2023,official_publication,measurement_tool,https://deepmind.google/research/publications/26336/,2026-08-05,Tracks arbitrary points with per-frame matching and temporal refinement.,Point tracking is not semantic identity proof and can fail on textureless/blurred/occluded surfaces.
B021,RAFT,Teed and Deng,ECCV 2020,official_repository,measurement_tool,https://github.com/princeton-vl/RAFT,2026-08-05,"Dense optical flow supports foot slip, motion continuity, and camera/actor decomposition diagnostics.","Known difficult cases include fast motion, occlusion, motion blur, and textureless regions."
B022,AV-SyncBench,Zhou et al.,2026,research_preprint,benchmark_result,https://arxiv.org/abs/2607.00726,2026-08-05,"Separates temporal from semantic audio-visual synchronization across voice, music, and sound events.",Very recent preprint; model rankings and code may change.
B023,VABench,Hua et al.,2025,research_preprint,benchmark_result,https://arxiv.org/abs/2512.09299,2026-08-05,"Evaluates text-video, text-audio, video-audio, synchronization, lip-speech consistency, and audio/video QA for joint generation.",Preprint and benchmark design require independent reproduction.
B024,AV-HuBERT,Shi et al.,ICLR 2022,official_repository,measurement_tool,https://github.com/facebookresearch/av_hubert,2026-08-05,Provides audio-visual speech representations useful for lip-speech agreement checks.,Speech recognition quality is not identical to generative lip-sync quality; model is archived and domain-limited.
B025,PhyGround,Lin et al.,2026,research_preprint,benchmark_result,https://arxiv.org/abs/2605.10806,2026-08-05,"Uses criteria-grounded physical-law questions and reports evaluator bias differences, supporting auditable, law-specific and human-calibrated scoring.",Recent preprint; requires independent reproduction.
B026,CRONOS,Begiristain et al.,2026,benchmark_project,benchmark_result,https://genintel.github.io/CRONOS/,2026-08-05,"Uses controlled counterfactual interventions for falls, collisions, and full occlusion/reappearance.",Controlled simulated setting may not predict cinematic model behavior exactly.
M014,Video generation and editing model overview,Alibaba Cloud Model Studio,updated 2026-07-01,official_documentation,officially_documented_capability,https://www.alibabacloud.com/help/en/model-studio/video-generate-edit-model,2026-08-05,"Version-scopes Wan 2.7 text, image, reference, editing, audio, duration, resolution, frame rate, and character animation interfaces.",Capability documentation does not establish continuity or physics reliability.
M015,Available AI models and API reference,Runway,accessed 2026-08-05,official_documentation,officially_documented_capability,https://docs.dev.runwayml.com/guides/models/,2026-08-05,"Current Runway API exposes gen4.5, aleph2, Seedance 2 variants, Veo variants, and other models with endpoint-specific inputs.",Runway-hosted third-party behavior may differ from native-provider interfaces.
M016,Creating with Edit Studio (Aleph 2.0),Runway,2026,official_documentation,officially_documented_capability,https://help.runwayml.com/hc/en-us/articles/51683104370451-Creating-with-Edit-Studio,2026-08-05,Documents source-video editing and localized transformations over single- or multi-shot input up to 30 seconds.,"Product documentation describes available operations, not exact edit isolation rates."
M017,Ray 3.2 introduction and core concepts,Luma AI,2026-05-27,official_documentation,officially_documented_capability,https://lumalabs.ai/learning-center/articles/ray-3-2-introduction-and-core-concepts,2026-08-05,"Clarifies Ray 3.2 is source-video modify, not text-to-video, image animation, or extension; supports dense keyframe anchoring and source-duration preservation.",Product documentation does not establish perfect source preservation.
M018,Sora 2 System Card,OpenAI,2025-09-30; status note 2026-04-26,official_system_card,officially_documented_capability,https://openai.com/index/sora-2-system-card/,2026-08-05,Documents Sora 2 video/audio claims and states that the consumer Sora product is no longer available as of 2026-04-26.,No current public production interface was verified in this research pass.
M019,Kling AI launches 3.0,Kuaishou Technology,2026-02-05,official_company_release,officially_documented_capability,https://ir.kuaishou.com/news-releases/news-release-details/kling-ai-launches-30-model-ushering-era-where-everyone-can-be,2026-08-05,"Documents Kling Video 3.0 and Video 3.0 Omni with text, image, audio, and video inputs, native audio, reference/editing tasks, and up to 15-second output.",Quality and consistency language is provider-authored and not independent reliability evidence.
M020,MiniMax API overview,MiniMax,accessed 2026-08-05,official_documentation,officially_documented_capability,https://platform.minimax.io/docs/api-reference/api-overview,2026-08-05,"Lists current video models and text, first-frame, last-frame, and reference-image inputs.",Exact features vary by model and endpoint.
M021,Runway API input parameters,Runway,accessed 2026-08-05,official_documentation,officially_documented_capability,https://docs.dev.runwayml.com/assets/inputs/,2026-08-05,Documents current aspect-ratio rules and that Aleph 2.0 preserves source resolution up to 1080p for 2-30 second inputs at 30 fps or lower.,Resolution preservation is not semantic-state preservation.
M022,Gen-4.5 API changelog entry,Runway,2026-02-10,official_documentation,officially_documented_capability,https://docs.dev.runwayml.com/api-details/api_changelog/,2026-08-05,Documents Gen-4.5 text-to-video and image-to-video with 2-10 second durations.,No official failure distribution is provided.
M023,Gen-3 Alpha prompting guide,Runway,historical; deprecated 2026,official_documentation,provider_specific_prompt_guidance,https://help.runwayml.com/hc/en-us/articles/30586818553107-Gen-3-Alpha-Prompting-Guide,2026-08-05,Historically advises positive phrasing instead of negative phrasing for Gen-3.,This is deprecated-model guidance and must not be generalized to all providers.
M024,Wan 2.7 image-to-video API,Alibaba Cloud Model Studio,updated 2026-06-16,official_documentation,officially_documented_capability,https://www.alibabacloud.com/help/en/model-studio/image-to-video-general-api-reference,2026-08-05,"Documents first-frame, first/last-frame, video continuation, multimodal input, and region-bound endpoint behavior.",Endpoint behavior and regional model aliases can change.
M025,Wan reference-to-video API,Alibaba Cloud Model Studio,updated 2026,official_documentation,officially_documented_capability,https://www.alibabacloud.com/help/en/model-studio/wan-video-to-video-api-reference,2026-08-05,"Documents reference inputs, durations, prompt rewriting, seeds, and explicitly states that identical seeds do not guarantee identical output.",Native provider behavior only; hosted adapters may expose different parameters.
B027,WorldReasonBench,Wu et al.,2026-05-11,research_preprint,benchmark_result,https://arxiv.org/abs/2605.10434,2026-08-05,"436 cases across physical, social, logical, and informational state evolution expose a gap between visual plausibility and dynamics, causality, or information preservation.",Recent preprint; commercial model versions and rankings can change.
B028,MBench,Zhang et al.,2026-05-30,research_preprint,benchmark_result,https://arxiv.org/abs/2606.00793,2026-08-05,"Decomposes video-world-model memory into entity, environment, and causal consistency and reports systemic long-term state-retention limits.",Recent preprint and long-horizon scope; not all short commercial clips are represented.
B029,TimeBlind,Li et al.,2026-01-30,research_preprint,evaluator_limitation,https://arxiv.org/abs/2602.00288,2026-08-05,Minimal temporal pairs show the strongest evaluated MLLM at 48.2% instance accuracy versus 98.2% human performance.,Evaluates understanding models rather than generators; informs verifier calibration.
B030,SLVMEval,Matsuda et al.,2026-03-31,research_preprint,evaluator_limitation,https://arxiv.org/abs/2603.29186,2026-08-05,Synthetic degradations show evaluation systems below human accuracy in nine of ten long-video quality aspects.,Long-video focus; individual evaluator versions may improve.
B031,Towards Understanding Camera Motions in Any Video (CameraBench),Lin et al.,NeurIPS 2025,peer_reviewed_benchmark,evaluator_limitation,https://arxiv.org/abs/2504.15376,2026-08-05,Shows semantic and geometric camera-motion estimators have complementary blind spots; zoom and forward translation can be confused without training.,"Camera understanding benchmark, not a direct generator benchmark."
B032,HumanScore,Fang et al.,2026-04-22,research_preprint,benchmark_result,https://arxiv.org/abs/2604.20157,2026-08-05,"Six interpretable human-motion metrics identify temporal jitter, anatomically implausible poses, and motion drift across 13 models.",Recent preprint; pose and biomechanics estimates remain model-dependent.
B033,ETVA,Guan et al.,2025-03-21,research_preprint,evaluation_method,https://arxiv.org/abs/2503.16867,2026-08-05,Uses prompt scene graphs and atomic questions; reports 58.47 Spearman correlation with human judgment for alignment.,Correlation is not perfect; atomic QA can still miss fast or ambiguous events.
B034,VideoScore2,He et al.,2025-09-26,research_preprint,evaluator_limitation,https://arxiv.org/abs/2509.22799,2026-08-05,Reports around 50% average accuracy on four out-of-domain benchmarks despite improved multi-dimensional reasoning.,Evaluator performance and benchmark composition may change after publication.
B035,MotionCtrl,Wang et al.,2023-12-06,research_preprint,control_method,https://arxiv.org/abs/2312.03641,2026-08-05,Separates camera motion from object motion using camera poses and trajectories.,Model-specific research method; does not prove current commercial support.
B036,DragNUWA,Yin et al.,2023-08-16,research_preprint,control_method,https://arxiv.org/abs/2308.08089,2026-08-05,"Combines text, image, and trajectory conditions for spatial and temporal control.",Open research method with its own training and domain limits.
B037,CameraCtrl,He et al.,2024-04-02,research_preprint,control_method,https://arxiv.org/abs/2404.02101,2026-08-05,Uses explicit camera trajectories for precise camera-pose control.,Requires a compatible trained module; ordinary text prompts do not gain this control automatically.
B038,C-Drag,Li et al.,2025-02-27,research_preprint,control_method,https://arxiv.org/abs/2502.19868,2026-08-05,Adds reasoning about surrounding-object effects because a controlled object's trajectory alone does not specify interaction consequences.,VLM reasoning and trajectory prediction can fail; not a universal physics solver.
B039,GenMAC,Huang et al.,2024-12-05,research_preprint,closed_loop_method,https://arxiv.org/abs/2412.04440,2026-08-05,"Iterates design, generation, verification, correction, and structured redesign for compositional video generation.",Agent judgments and repeated generation add cost and can propagate evaluator errors.
B040,VideoDirectorGPT,Lin et al.,2023-09-26,research_preprint,planning_method,https://arxiv.org/abs/2309.15091,2026-08-05,"Plans scenes, entity layouts, backgrounds, and consistency groups before grounded generation.",Research framework and backbone-specific results; not a current provider guarantee.
B041,VideoTetris,Tian et al.,2024-06-06,research_preprint,control_method,https://arxiv.org/abs/2406.04277,2026-08-05,Uses spatiotemporal compositional attention for multiple objects and changing object counts.,Requires model-level intervention rather than prompt-only access.
B042,VBench,Huang et al.,2023-11-29,research_preprint,benchmark_result,https://arxiv.org/abs/2311.17982,2026-08-05,"Defines 16 dimensions including identity consistency, motion smoothness, flicker, and spatial relationship with human annotations.",Dimension scores can miss localized causal failures.
B043,T2V-CompBench paper,Sun et al.,2024-07-19,research_preprint,benchmark_result,https://arxiv.org/abs/2407.14505,2026-08-05,"Covers attribute, action, motion, spatial, interaction, and count binding over a large compositional prompt set.",Benchmark results are model-version scoped.
B044,VideoPhy-2 paper,Bansal et al.,2025-03-09,research_preprint,benchmark_result,https://arxiv.org/abs/2503.06800,2026-08-05,Reports only 22% joint success for the best evaluated model on the hard subset and difficulty with mass and momentum.,Applies to tested models and prompts; not a current universal score.
B045,PhyGenBench paper,Meng et al.,2024-10-07,research_preprint,benchmark_result,https://arxiv.org/abs/2410.05363,2026-08-05,Covers 160 prompts and 27 physical laws and reports that scaling and prompt engineering alone do not solve dynamic physical failures.,Automated evaluator and prompt set have finite coverage.
B046,AV-SyncBench,Zhou et al.,2026-07-01,research_preprint,benchmark_result,https://arxiv.org/abs/2607.00726,2026-08-05,"Separates temporal offset detection from semantic audio-video matching over 3,269 videos and 38,390 samples.",Very recent preprint; exact leaderboard status may change.
