claim_id,claim,claim_status,claim_scope,claim_confidence,cpcs_implication,source_id,source_title,source_evidence_class,source_url,source_limitations
C003,Object permanence and recurrence consistency degrade as content leaves view or reappears after longer intervals.,supported,benchmark_supported,high,Carry state/entity ledgers across shots and recurrence gaps.,B014,MemoBench,benchmark_result,https://arxiv.org/abs/2606.27537,Recent preprint; version and leaderboard may change.
C003,Object permanence and recurrence consistency degrade as content leaves view or reappears after longer intervals.,supported,benchmark_supported,high,Carry state/entity ledgers across shots and recurrence gaps.,B015,EntityBench,benchmark_result,https://arxiv.org/abs/2605.15199,Recent preprint; multi-shot systems and metrics may evolve.
C004,"Prompt engineering alone is insufficient for many dynamic physical phenomena; current models can satisfy semantics while violating mass, momentum, support, contact, or material response.",supported,benchmark_supported,high,"Escalate high-precision physics to control media, decomposition, simulation, or postproduction.",B004,VideoPhy-2,benchmark_result,https://research.google/pubs/videophy-2-a-challenging-action-centric-physical-commonsense-evaluation-in-video-generation/,"Results apply to evaluated versions and prompts, not every current provider release."
C004,"Prompt engineering alone is insufficient for many dynamic physical phenomena; current models can satisfy semantics while violating mass, momentum, support, contact, or material response.",supported,benchmark_supported,high,"Escalate high-precision physics to control media, decomposition, simulation, or postproduction.",B005,PhyGenBench,benchmark_result,https://github.com/OpenGVLab/PhyGenBench,Automated hierarchical evaluation still needs human calibration.
C004,"Prompt engineering alone is insufficient for many dynamic physical phenomena; current models can satisfy semantics while violating mass, momentum, support, contact, or material response.",supported,benchmark_supported,high,"Escalate high-precision physics to control media, decomposition, simulation, or postproduction.",B006,WorldModelBench,benchmark_result,https://github.com/WorldModelBench-Team/WorldModelBench,Judge-based results inherit the judge's model and training distribution.
C005,"On the hard subset reported by VideoPhy-2, the best evaluated model achieved 22% joint semantic-and-physical adherence; this result is version- and benchmark-scoped, not a universal provider ranking.",verified within cited study,benchmark_result,high,Treat physical compliance as a separate qualification gate.,B004,VideoPhy-2,benchmark_result,https://research.google/pubs/videophy-2-a-challenging-action-centric-physical-commonsense-evaluation-in-video-generation/,"Results apply to evaluated versions and prompts, not every current provider release."
C006,"Benchmark corrections and prompt/ground-truth audits can change model rankings, so evaluator datasets and criteria are part of the evidence chain rather than neutral ground truth.",supported,benchmark_audit,high,"Version datasets/evaluators, preserve conflicts, and require human calibration.",B007,Physics-IQ Verified,benchmark_audit,https://arxiv.org/abs/2606.18943,Recent preprint; not yet peer reviewed at access date.
C006,"Benchmark corrections and prompt/ground-truth audits can change model rankings, so evaluator datasets and criteria are part of the evidence chain rather than neutral ground truth.",supported,benchmark_audit,high,"Version datasets/evaluators, preserve conflicts, and require human calibration.",B025,PhyGround,benchmark_result,https://arxiv.org/abs/2605.10806,Recent preprint; requires independent reproduction.
C007,"Learned video evaluators correlate with humans but remain fallible and domain-dependent; no single VLM, tracker, pose estimator, flow model, or segmentation model should be treated as authoritative for all failure classes.",supported,evaluation_synthesis,high,"Use direct, semantic, measured, and human-review lanes with preserved disagreement.",B008,VideoScore,benchmark_result,https://github.com/TIGER-AI-Lab/VideoScore,"Domain shift, fast events, and unseen artifact classes remain risks."
C007,"Learned video evaluators correlate with humans but remain fallible and domain-dependent; no single VLM, tracker, pose estimator, flow model, or segmentation model should be treated as authoritative for all failure classes.",supported,evaluation_synthesis,high,"Use direct, semantic, measured, and human-review lanes with preserved disagreement.",B009,EvalCrafter,benchmark_result,https://github.com/evalcrafter/EvalCrafter,Multiple metrics do not eliminate correlated evaluator failure.
C007,"Learned video evaluators correlate with humans but remain fallible and domain-dependent; no single VLM, tracker, pose estimator, flow model, or segmentation model should be treated as authoritative for all failure classes.",supported,evaluation_synthesis,high,"Use direct, semantic, measured, and human-review lanes with preserved disagreement.",B017,TOC-Bench,benchmark_result,https://arxiv.org/abs/2605.09904,"Evaluates video understanding, not generation; directly informs evaluator-risk controls."
C007,"Learned video evaluators correlate with humans but remain fallible and domain-dependent; no single VLM, tracker, pose estimator, flow model, or segmentation model should be treated as authoritative for all failure classes.",supported,evaluation_synthesis,high,"Use direct, semantic, measured, and human-review lanes with preserved disagreement.",B018,SAM 2,measurement_tool,https://ai.meta.com/research/publications/sam-2-segment-anything-in-images-and-videos/,"Segmentation errors under blur, reflections, occlusion, small subjects, and stylized content must be calibrated."
C007,"Learned video evaluators correlate with humans but remain fallible and domain-dependent; no single VLM, tracker, pose estimator, flow model, or segmentation model should be treated as authoritative for all failure classes.",supported,evaluation_synthesis,high,"Use direct, semantic, measured, and human-review lanes with preserved disagreement.",B019,CoTracker3,measurement_tool,https://cotracker3.github.io/,"Tracking can swap identities or lose points in severe occlusion, cuts, deformation, and out-of-distribution imagery."
C007,"Learned video evaluators correlate with humans but remain fallible and domain-dependent; no single VLM, tracker, pose estimator, flow model, or segmentation model should be treated as authoritative for all failure classes.",supported,evaluation_synthesis,high,"Use direct, semantic, measured, and human-review lanes with preserved disagreement.",B020,TAPIR,measurement_tool,https://deepmind.google/research/publications/26336/,Point tracking is not semantic identity proof and can fail on textureless/blurred/occluded surfaces.
C007,"Learned video evaluators correlate with humans but remain fallible and domain-dependent; no single VLM, tracker, pose estimator, flow model, or segmentation model should be treated as authoritative for all failure classes.",supported,evaluation_synthesis,high,"Use direct, semantic, measured, and human-review lanes with preserved disagreement.",B021,RAFT,measurement_tool,https://github.com/princeton-vl/RAFT,"Known difficult cases include fast motion, occlusion, motion blur, and textureless regions."
C008,"XML, YAML, and JSON do not universally make an opaque text-prompt endpoint more intelligent or deterministic; their value is internal separation, compilation, validation, and controlled provider-specific A/B testing.",partially verified,repository_and_interface_inference,high for internal-control value; provider adherence effect unverified,Keep one canonical JSON authority and emit one provider-native payload.,R005,CPCS format control map,controlled_repository_observation,https://github.com/Kingsley-Cyber/ai-video-movement-prompt-system/blob/eb0fc359de4bb61075db49ca0dad08d4d6ed5114/lab/FORMAT_CONTROL_MAP.md,Does not prove provider-side structured-format superiority.
C008,"XML, YAML, and JSON do not universally make an opaque text-prompt endpoint more intelligent or deterministic; their value is internal separation, compilation, validation, and controlled provider-specific A/B testing.",partially verified,repository_and_interface_inference,high for internal-control value; provider adherence effect unverified,Keep one canonical JSON authority and emit one provider-native payload.,M002,Runway API reference,officially_documented_capability,https://docs.dev.runwayml.com/api/,Runway can expose third-party models; adapter behavior may differ from original providers.
C008,"XML, YAML, and JSON do not universally make an opaque text-prompt endpoint more intelligent or deterministic; their value is internal separation, compilation, validation, and controlled provider-specific A/B testing.",partially verified,repository_and_interface_inference,high for internal-control value; provider adherence effect unverified,Keep one canonical JSON authority and emit one provider-native payload.,M007,MiniMax text-to-video API,officially_documented_capability,https://platform.minimax.io/docs/api-reference/video-generation-t2v,Camera command support does not guarantee exact choreography.
C009,"A visible bridge such as a mask, point track, silhouette, partial limb, or trajectory control can carry continuity evidence through occlusion, but its attachment to the correct entity must itself be verified.",mechanistically supported; generative effect size pending,measurement/control synthesis,medium-high,Bind bridges to entity IDs and intervals; do not treat them as generic effects.,B013,Tracking through Containers and Occluders in the Wild,benchmark_result,https://tcow.cs.columbia.edu/,"Perception benchmark, not a generator benchmark; used to design verification and visibility bridges."
C009,"A visible bridge such as a mask, point track, silhouette, partial limb, or trajectory control can carry continuity evidence through occlusion, but its attachment to the correct entity must itself be verified.",mechanistically supported; generative effect size pending,measurement/control synthesis,medium-high,Bind bridges to entity IDs and intervals; do not treat them as generic effects.,B018,SAM 2,measurement_tool,https://ai.meta.com/research/publications/sam-2-segment-anything-in-images-and-videos/,"Segmentation errors under blur, reflections, occlusion, small subjects, and stylized content must be calibrated."
C009,"A visible bridge such as a mask, point track, silhouette, partial limb, or trajectory control can carry continuity evidence through occlusion, but its attachment to the correct entity must itself be verified.",mechanistically supported; generative effect size pending,measurement/control synthesis,medium-high,Bind bridges to entity IDs and intervals; do not treat them as generic effects.,B019,CoTracker3,measurement_tool,https://cotracker3.github.io/,"Tracking can swap identities or lose points in severe occlusion, cuts, deformation, and out-of-distribution imagery."
C009,"A visible bridge such as a mask, point track, silhouette, partial limb, or trajectory control can carry continuity evidence through occlusion, but its attachment to the correct entity must itself be verified.",mechanistically supported; generative effect size pending,measurement/control synthesis,medium-high,Bind bridges to entity IDs and intervals; do not treat them as generic effects.,B020,TAPIR,measurement_tool,https://deepmind.google/research/publications/26336/,Point tracking is not semantic identity proof and can fail on textureless/blurred/occluded surfaces.
C010,"Shot decomposition is not merely a workaround; it converts hidden, dense, or mutually competing constraints into observable boundary states and smaller satisfiable generation problems.",supported as engineering strategy; effect sizes pending,system_design_inference,high,"Add deterministic split gates based on hidden-state duration, dependency depth, control loss, and observability.",B003,TC-Bench,benchmark_result,https://aclanthology.org/2025.findings-acl.241/,Does not directly isolate every production failure type.
C010,"Shot decomposition is not merely a workaround; it converts hidden, dense, or mutually competing constraints into observable boundary states and smaller satisfiable generation problems.",supported as engineering strategy; effect sizes pending,system_design_inference,high,"Add deterministic split gates based on hidden-state duration, dependency depth, control loss, and observability.",B010,ChronoMagic-Bench,benchmark_result,https://github.com/PKU-YuanGroup/ChronoMagic-Bench,Time-lapse focus does not directly cover all interaction/contact failures.
C010,"Shot decomposition is not merely a workaround; it converts hidden, dense, or mutually competing constraints into observable boundary states and smaller satisfiable generation problems.",supported as engineering strategy; effect sizes pending,system_design_inference,high,"Add deterministic split gates based on hidden-state duration, dependency depth, control loss, and observability.",R002,CPCS architecture,controlled_repository_observation,https://github.com/Kingsley-Cyber/ai-video-movement-prompt-system/blob/eb0fc359de4bb61075db49ca0dad08d4d6ed5114/ARCHITECTURE.md,Architecture may exceed currently qualified runtime behavior.
C011,"The cited Google Vertex AI Veo 3.1 first/last-frame endpoint documents first-and-last frame conditioning, 4/6/8-second durations, 720p/1080p, seed, and negative prompt controls.",verified for cited endpoint/date,official_capability,high,"The Veo adapter may carry boundary frames and seed, but adherence still requires repeated-seed verification.",M001,Generate videos with Veo using first and last frames,officially_documented_capability,https://docs.cloud.google.com/vertex-ai/generative-ai/docs/video/generate-videos-from-first-and-last-frames,Capability documentation does not establish adherence reliability.
C012,"ByteDance's Seedance 2.0 official launch documents unified text, image, audio, and video references, up to 9 images, 3 videos, 3 audio clips, and up to 15-second multi-shot audio-video generation.",verified as documented capability,official_capability,high,Create a multimodal-reference adapter and independently qualify reference priority/coreference.,M004,Seedance 2.0 official launch,officially_documented_capability,https://seed.bytedance.com/blog/seedance-2-0-official-launch,Internal benchmark and marketing claims are not independent reliability evidence.
C013,"Kling VIDEO 3.0's official guide documents T2V, I2V, start/end frames, native audio, multi-shot, element references, and flexible 3-15 second generation.",verified as documented capability,official_capability,high,"Map element/reference IDs and shot structure, but do not infer reliability from the guide.",M005,Kling VIDEO 3.0 model user guide,officially_documented_capability,https://app.klingai.com/cn/quickstart/klingai-video-3-model-user-guide,Official guide contains promotional quality statements; only interface claims are used as capability evidence.
C014,"MiniMax release/API documentation identifies Hailuo-2.3 as T2V/I2V and Hailuo-2.3-Fast as I2V, with documented duration/resolution combinations and a 2000-character T2V prompt field plus bracketed camera commands.",verified as documented capability,official_capability,high,The adapter should distinguish text camera syntax from direct numeric control and test command adherence.,M006,MiniMax API release notes,officially_documented_capability,https://platform.minimax.io/docs/release-notes/apis,No independent failure-rate evidence.
C014,"MiniMax release/API documentation identifies Hailuo-2.3 as T2V/I2V and Hailuo-2.3-Fast as I2V, with documented duration/resolution combinations and a 2000-character T2V prompt field plus bracketed camera commands.",verified as documented capability,official_capability,high,The adapter should distinguish text camera syntax from direct numeric control and test command adherence.,M007,MiniMax text-to-video API,officially_documented_capability,https://platform.minimax.io/docs/api-reference/video-generation-t2v,Camera command support does not guarantee exact choreography.
C015,"The official LTX repository documents LTX-2 workflows including synchronized audio-video, multiple keyframes, extension, video-to-video, and control models.",verified as repository-documented capability,official_capability,high,"Local/open adapters can expose stronger control carriers and reproducible configs, but checkpoint-specific qualification is mandatory.",M008,LTX-Video/LTX-2 official repository,officially_documented_capability,https://github.com/Lightricks/LTX-Video,Repository claims and demos are not independent reliability measurements.
C016,"The official Wan2.2 repository documents T2V, I2V, unified TI2V, speech-to-video, pose/control, and animation/replacement variants.",verified as repository-documented capability,official_capability,high,Route by task checkpoint and record exact checkpoint/sampler/seed/hardware.,M009,Wan2.2 official repository,officially_documented_capability,https://github.com/Wan-Video/Wan2.2,"Open-model performance depends on checkpoint, sampler, hardware, and configuration."
C017,HunyuanVideo-1.5's official repository documents T2V and I2V workflows at 480p/720p with a 1080p super-resolution workflow and local seed/configuration controls.,verified as repository-documented capability,official_capability,high,Keep generation and super-resolution qualification separate.,M010,HunyuanVideo-1.5 official repository,officially_documented_capability,https://github.com/Tencent-Hunyuan/HunyuanVideo-1.5,Official evaluation is model-authored and not a substitute for CPCS qualification.
C018,CogVideoX1.5's official repository documents T2V and I2V checkpoints with roughly 10-second model-family outputs and checkpoint-specific resolutions/frames.,verify exact checkpoint before implementation,official_capability,medium-high,Capability negotiation must be checkpoint-specific.,M011,CogVideo/CogVideoX official repository,officially_documented_capability,https://github.com/zai-org/CogVideo,Current commercial QingYing behavior is outside the open repository scope.
C019,"Mochi 1 is an open preview model with an official repository, but its existence does not establish current commercial parity or reliable complex choreography.",supported,official_capability_with_limit,high,Use only after local qualification and do not overgeneralize preview claims.,M012,Mochi 1 official repository,officially_documented_capability,https://github.com/genmoai/mochi,Repository preview does not document all hosted product controls or current service limits.
C020,The repository already defines one provider-neutral CPCS kernel and canonical score; new failure research must extend those owners rather than create a second compiler or ontology.,verified at repository SHA,controlled_repository_observation,high,Integrate through typed minimal extensions and governed second-brain records.,R001,Repository governance,controlled_repository_observation,https://github.com/Kingsley-Cyber/ai-video-movement-prompt-system/blob/eb0fc359de4bb61075db49ca0dad08d4d6ed5114/AGENTS.md,"Repository policy, not empirical model evidence."
C020,The repository already defines one provider-neutral CPCS kernel and canonical score; new failure research must extend those owners rather than create a second compiler or ontology.,verified at repository SHA,controlled_repository_observation,high,Integrate through typed minimal extensions and governed second-brain records.,R002,CPCS architecture,controlled_repository_observation,https://github.com/Kingsley-Cyber/ai-video-movement-prompt-system/blob/eb0fc359de4bb61075db49ca0dad08d4d6ed5114/ARCHITECTURE.md,Architecture may exceed currently qualified runtime behavior.
C020,The repository already defines one provider-neutral CPCS kernel and canonical score; new failure research must extend those owners rather than create a second compiler or ontology.,verified at repository SHA,controlled_repository_observation,high,Integrate through typed minimal extensions and governed second-brain records.,R003,Lab governance,controlled_repository_observation,https://github.com/Kingsley-Cyber/ai-video-movement-prompt-system/blob/eb0fc359de4bb61075db49ca0dad08d4d6ed5114/lab/AGENTS.md,Policy only.
C020,The repository already defines one provider-neutral CPCS kernel and canonical score; new failure research must extend those owners rather than create a second compiler or ontology.,verified at repository SHA,controlled_repository_observation,high,Integrate through typed minimal extensions and governed second-brain records.,R006,Universal score schema 1.0,controlled_repository_observation,https://github.com/Kingsley-Cyber/ai-video-movement-prompt-system/blob/eb0fc359de4bb61075db49ca0dad08d4d6ed5114/lab/compiler/schemas/universal_score.schema.json,Many high-level objects are open objects and need typed minimal extensions.
C021,The current provider-capability schema is hard-coded to Google Vertex AI Veo 3.1 and therefore cannot represent the full provider matrix without a controlled schema generalization.,verified at repository SHA,controlled_repository_observation,high,Generalize provider/model constants and capability fields while preserving existing adapter behavior.,R007,Provider capability schema 1.0,controlled_repository_observation,https://github.com/Kingsley-Cyber/ai-video-movement-prompt-system/blob/eb0fc359de4bb61075db49ca0dad08d4d6ed5114/lab/compiler/schemas/provider_capability.schema.json,Not yet a universal multi-provider capability contract.
C022,"The current verification-plan schema already has direct, semantic, measured, and human-review observability lanes, which are the correct ownership surface for failure-specific metrics.",verified at repository SHA,controlled_repository_observation,high,Extend metric catalog and requirement types; do not build a second verifier.,R008,Verification plan schema 1.0,controlled_repository_observation,https://github.com/Kingsley-Cyber/ai-video-movement-prompt-system/blob/eb0fc359de4bb61075db49ca0dad08d4d6ed5114/lab/compiler/schemas/verification_plan.schema.json,Current artifact checks are basic media properties; failure-specific metrics require extension.
C023,"The current compliance-report schema already supports interval-scoped evidence, conflicts, and bounded repairs that reassert existing canonical controls.",verified at repository SHA,controlled_repository_observation,high,Add failure classification and repair escalation while preserving canonical authority.,R009,Compliance report schema 1.0,controlled_repository_observation,https://github.com/Kingsley-Cyber/ai-video-movement-prompt-system/blob/eb0fc359de4bb61075db49ca0dad08d4d6ed5114/lab/verification/schemas/compliance_report.schema.json,Does not yet define the failure taxonomy or metric catalog in this package.
C024,"The minimum sufficient anti-invention representation is not exhaustive frame scripting; it is a compact set of stable entity IDs/signatures, state ledger, event/causal graph, coordinate-frame spatial transitions, visibility intervals/hidden trajectories, boundary states, allowed variation, and forbidden transitions.",research conclusion,evidence-backed synthesis,high as system design; exact field efficacy pending,Implement these as typed minimal extensions and test ablations against matched prose.,B002,T2V-CompBench,benchmark_result,https://github.com/KaiyueSun98/T2V-CompBench,Primarily T2V and benchmark-prompt scoped; commercial model versions age quickly.
C024,"The minimum sufficient anti-invention representation is not exhaustive frame scripting; it is a compact set of stable entity IDs/signatures, state ledger, event/causal graph, coordinate-frame spatial transitions, visibility intervals/hidden trajectories, boundary states, allowed variation, and forbidden transitions.",research conclusion,evidence-backed synthesis,high as system design; exact field efficacy pending,Implement these as typed minimal extensions and test ablations against matched prose.,B003,TC-Bench,benchmark_result,https://aclanthology.org/2025.findings-acl.241/,Does not directly isolate every production failure type.
C024,"The minimum sufficient anti-invention representation is not exhaustive frame scripting; it is a compact set of stable entity IDs/signatures, state ledger, event/causal graph, coordinate-frame spatial transitions, visibility intervals/hidden trajectories, boundary states, allowed variation, and forbidden transitions.",research conclusion,evidence-backed synthesis,high as system design; exact field efficacy pending,Implement these as typed minimal extensions and test ablations against matched prose.,B011,WorldBench: How Close are World Models to the Physical World?,benchmark_result,https://world-bench.github.io/,Synthetic/controlled benchmark; title-level results should not be generalized to every commercial model.
C024,"The minimum sufficient anti-invention representation is not exhaustive frame scripting; it is a compact set of stable entity IDs/signatures, state ledger, event/causal graph, coordinate-frame spatial transitions, visibility intervals/hidden trajectories, boundary states, allowed variation, and forbidden transitions.",research conclusion,evidence-backed synthesis,high as system design; exact field efficacy pending,Implement these as typed minimal extensions and test ablations against matched prose.,B014,MemoBench,benchmark_result,https://arxiv.org/abs/2606.27537,Recent preprint; version and leaderboard may change.
C024,"The minimum sufficient anti-invention representation is not exhaustive frame scripting; it is a compact set of stable entity IDs/signatures, state ledger, event/causal graph, coordinate-frame spatial transitions, visibility intervals/hidden trajectories, boundary states, allowed variation, and forbidden transitions.",research conclusion,evidence-backed synthesis,high as system design; exact field efficacy pending,Implement these as typed minimal extensions and test ablations against matched prose.,B015,EntityBench,benchmark_result,https://arxiv.org/abs/2605.15199,Recent preprint; multi-shot systems and metrics may evolve.
C024,"The minimum sufficient anti-invention representation is not exhaustive frame scripting; it is a compact set of stable entity IDs/signatures, state ledger, event/causal graph, coordinate-frame spatial transitions, visibility intervals/hidden trajectories, boundary states, allowed variation, and forbidden transitions.",research conclusion,evidence-backed synthesis,high as system design; exact field efficacy pending,Implement these as typed minimal extensions and test ablations against matched prose.,B017,TOC-Bench,benchmark_result,https://arxiv.org/abs/2605.09904,"Evaluates video understanding, not generation; directly informs evaluator-risk controls."
C024,"The minimum sufficient anti-invention representation is not exhaustive frame scripting; it is a compact set of stable entity IDs/signatures, state ledger, event/causal graph, coordinate-frame spatial transitions, visibility intervals/hidden trajectories, boundary states, allowed variation, and forbidden transitions.",research conclusion,evidence-backed synthesis,high as system design; exact field efficacy pending,Implement these as typed minimal extensions and test ablations against matched prose.,R006,Universal score schema 1.0,controlled_repository_observation,https://github.com/Kingsley-Cyber/ai-video-movement-prompt-system/blob/eb0fc359de4bb61075db49ca0dad08d4d6ed5114/lab/compiler/schemas/universal_score.schema.json,Many high-level objects are open objects and need typed minimal extensions.
C025,"Audio-generation failure and visual-generation failure must be measured separately, then joined through typed cross-modal event anchors.",supported,benchmark_supported,high,Store semantic and temporal audio alignment as separate verdicts.,B022,AV-SyncBench,benchmark_result,https://arxiv.org/abs/2607.00726,Very recent preprint; model rankings and code may change.
C025,"Audio-generation failure and visual-generation failure must be measured separately, then joined through typed cross-modal event anchors.",supported,benchmark_supported,high,Store semantic and temporal audio alignment as separate verdicts.,B023,VABench,benchmark_result,https://arxiv.org/abs/2512.09299,Preprint and benchmark design require independent reproduction.
C025,"Audio-generation failure and visual-generation failure must be measured separately, then joined through typed cross-modal event anchors.",supported,benchmark_supported,high,Store semantic and temporal audio alignment as separate verdicts.,B024,AV-HuBERT,measurement_tool,https://github.com/facebookresearch/av_hubert,Speech recognition quality is not identical to generative lip-sync quality; model is archived and domain-limited.
C026,"No universal maximum actions-per-second or dependency-depth threshold can be responsibly asserted across providers; thresholds must be estimated by provider/version, duration, workflow, and task through repeated-seed distributions.",supported,methodological conclusion,high,Learn empirical adapter budgets without promoting them before qualification.,B003,TC-Bench,benchmark_result,https://aclanthology.org/2025.findings-acl.241/,Does not directly isolate every production failure type.
C026,"No universal maximum actions-per-second or dependency-depth threshold can be responsibly asserted across providers; thresholds must be estimated by provider/version, duration, workflow, and task through repeated-seed distributions.",supported,methodological conclusion,high,Learn empirical adapter budgets without promoting them before qualification.,M001,Generate videos with Veo using first and last frames,officially_documented_capability,https://docs.cloud.google.com/vertex-ai/generative-ai/docs/video/generate-videos-from-first-and-last-frames,Capability documentation does not establish adherence reliability.
C026,"No universal maximum actions-per-second or dependency-depth threshold can be responsibly asserted across providers; thresholds must be estimated by provider/version, duration, workflow, and task through repeated-seed distributions.",supported,methodological conclusion,high,Learn empirical adapter budgets without promoting them before qualification.,M002,Runway API reference,officially_documented_capability,https://docs.dev.runwayml.com/api/,Runway can expose third-party models; adapter behavior may differ from original providers.
C026,"No universal maximum actions-per-second or dependency-depth threshold can be responsibly asserted across providers; thresholds must be estimated by provider/version, duration, workflow, and task through repeated-seed distributions.",supported,methodological conclusion,high,Learn empirical adapter budgets without promoting them before qualification.,M004,Seedance 2.0 official launch,officially_documented_capability,https://seed.bytedance.com/blog/seedance-2-0-official-launch,Internal benchmark and marketing claims are not independent reliability evidence.
C026,"No universal maximum actions-per-second or dependency-depth threshold can be responsibly asserted across providers; thresholds must be estimated by provider/version, duration, workflow, and task through repeated-seed distributions.",supported,methodological conclusion,high,Learn empirical adapter budgets without promoting them before qualification.,M005,Kling VIDEO 3.0 model user guide,officially_documented_capability,https://app.klingai.com/cn/quickstart/klingai-video-3-model-user-guide,Official guide contains promotional quality statements; only interface claims are used as capability evidence.
C026,"No universal maximum actions-per-second or dependency-depth threshold can be responsibly asserted across providers; thresholds must be estimated by provider/version, duration, workflow, and task through repeated-seed distributions.",supported,methodological conclusion,high,Learn empirical adapter budgets without promoting them before qualification.,M006,MiniMax API release notes,officially_documented_capability,https://platform.minimax.io/docs/release-notes/apis,No independent failure-rate evidence.
C027,Negative prompts should not replace positive state/count/causal contracts; negative-field behavior is provider-specific and must be tested.,partially verified,interface_and_control_inference,medium-high,Compile positive invariants first and retain prohibitions in verification.,M001,Generate videos with Veo using first and last frames,officially_documented_capability,https://docs.cloud.google.com/vertex-ai/generative-ai/docs/video/generate-videos-from-first-and-last-frames,Capability documentation does not establish adherence reliability.
C027,Negative prompts should not replace positive state/count/causal contracts; negative-field behavior is provider-specific and must be tested.,partially verified,interface_and_control_inference,medium-high,Compile positive invariants first and retain prohibitions in verification.,M003,Runway API changelog,officially_documented_capability,https://docs.dev.runwayml.com/api-details/api_changelog/,"Changelog is interface evidence, not quality evidence."
