claim_id,topic_id,claim_type,provenance_class,confidence,source_ids,scope,claim
C024,T07,DATASET,EMPIRICAL,0.95,S034,600 HOI classes,HICO-DET supplies a broad human-object interaction verb/object vocabulary.
C025,T07,DATASET,EMPIRICAL,0.94,S036,dataset paper,Inter-X focuses on versatile two-person interaction data.
C026,T07,LIMITATION,EMPIRICAL,0.8,S037;S038,generation/contact research,Generated interaction can remain visually plausible while violating contact physics.
C027,T08,DISTINCTION,ESTABLISHED,0.98,S004;S027,qualitative vs physical,LMA Weight is not equal to force in newtons.
C028,T08,METHOD,EMPIRICAL,0.78,S027;S028;S039,sports biomechanics,Kinetic-chain sequencing can be represented as temporal segment transfer but is task specific.
C029,T09,DEFINITION,ESTABLISHED,0.9,S040;S042,cinematography/perception,"Apparent motion depends on relative camera/subject motion, projection and depth."
C030,T09,PRACTICE,PRACTICE,0.9,S040;S043,film grammar,"180-degree, 30-degree and match-on-action are continuity conventions, not physical laws."
C031,T10,PRACTICE,PRACTICE,0.9,S041,film editing research/practice,"Editing rhythm includes timing, pacing, trajectory phrasing, tension and release."
C032,T10,DATASET,EMPIRICAL,0.95,S045,dataset paper,AIST++ supports music/dance alignment research.
C033,T11,DEFINITION,ESTABLISHED,0.97,S046;S047;S048,affect research,"VAD represents affect along valence, arousal and dominance dimensions."
C034,T11,RIGHTS,ESTABLISHED,0.98,S049,official dataset page,"The NRC VAD lexicon should be referenced under its terms, not redistributed in this package."
C035,T11,LIMITATION,EMPIRICAL,0.85,S047;S048,construct distinction,Lexical VAD ratings do not directly equal embodied performance measurements.
C036,T12,METHOD,EMPIRICAL,0.9,S050;S051,peer-reviewed methods,"Motion style can be transferred with learned models, including body-part-local approaches."
C037,T12,LIMITATION,EMPIRICAL,0.85,S050;S051;S052,method limitation,Content/style disentanglement does not guarantee preservation of action or contact.
C038,T13,CONCLUSION,CPCS_INFERENCE,0.82,S005;S006;S007;S008;S012;S071,survey inference as of 2026-07-30,No broadly validated full-BESS real-time OpenFace-equivalent detector was identified.
C039,T13,DATASET,EMPIRICAL,0.97,S071,dataset paper,"BoME contains 1,600 clips with expert labels for 11 selected LMA motor elements."
C040,T13,LIMITATION,CPCS_INFERENCE,0.72,S007;S008;S071,evidence-backed inference,Weight and Flow are harder to infer visually than geometric Space/Time features.
C041,T13,UNVERIFIED,UNVERIFIED,0.7,,search gap; absence cannot be certain,LabanWRML and ChoosenMove were not verified as established detector systems under those names.
C042,T14,PRODUCT_CAPABILITY,ESTABLISHED,0.96,S053,verified 2026-07-30,"Veo 3.1 documentation exposes structured duration, aspect, resolution, seed and reference/image controls with variant-specific constraints."
C043,T14,PRODUCT_CAPABILITY,ESTABLISHED,0.9,S054;S076,UI/API parity unknown,Kling VIDEO 3.0 documents 3–15 second multi-shot generation and references/audio on current surfaces.
C044,T14,PRODUCT_CAPABILITY,ESTABLISHED,0.95,S055,web surface,Runway Gen-4.5 documents 2–10 second generation and 24/25 fps on its current guide.
C045,T14,PRODUCT_CAPABILITY,ESTABLISHED,0.96,S056,web surface,"Runway Act-Two uses a driving performance and character input, with different behavior for image versus video character modes."
C046,T14,PRODUCT_CAPABILITY,ESTABLISHED,0.95,S057;S058,current official guide,Ray 3.2 Modify exposes Motion/Structure controls and Poses/Blocking behavior.
C047,T14,PRODUCT_CAPABILITY,ESTABLISHED,0.96,S059;S060,current official docs,Adobe Firefly documents a camera-motion reference workflow with input constraints and control incompatibilities.
C048,T14,PRODUCT_CAPABILITY,ESTABLISHED,0.99,S061;S062,official notice,OpenAI ended Sora web/app on 2026-04-26 and schedules Sora API end for 2026-09-24.
C049,T14,ENGINEERING,CPCS_CONVENTION,0.98,S054;S055;S057;S060,adapter rule,UI and API surfaces must be versioned separately.
C050,T14,ENGINEERING,CPCS_CONVENTION,1.0,,repository invariant,Unsupported canonical fields must remain visible in a loss report.
